"BGC","B2","C4","D6"
"IDFxh_ID","IDFxh_ID/102","IDFxh_ID/101","IDFxh_ID/113"
"IDFxh_WA","IDFxh_WA/103","IDFxh_WA/101","IDFxh_WA/113"
"IDFxh1","IDFxh1/04","IDFxh1/01","IDFxh1/08"
"IDFxh2","IDFxh2/04","IDFxh2/01","IDFxh2/08"
"IDFxh4","IDFxh4/04","IDFxh4/01","IDFxh4/08"
"IDFxk","IDFxk/102","IDFxk/101","IDFxk/112"
"IDFxm","IDFxm/02","IDFxm/01","IDFxm/08"
"IDFxm_CO","IDFxm_CO/102","IDFxm_CO/101","IDFxm_CO/113"
"IDFxw","IDFxw/03","IDFxw/01","IDFxw/07"
"IDFxx_MT","IDFxx_MT/Gg","IDFxx_MT/101","IDFxx_MT/113"
"IDFxx_WA","IDFxx_WA/103","IDFxx_WA/101","IDFxx_WA/113"
"IDFxx1","IDFxx1/03","IDFxx1/01","IDFxx1/06"
"IDFxx2","IDFxx2/103","IDFxx2/101","IDFxx2/112"
"IGFdk_WA","IGFdk_WA/103","IGFdk_WA/101","IGFdk_WA/113"
"IGFdw_OR","IGFdw_OR/103","IGFdw_OR/101","IGFdw_OR/113"
"IGFmm_OR","IGFmm_OR/103","IGFmm_OR/101","IGFmm_OR/113"
"IMAab","IMAab/00","IMAab/00","IMAab/00"
"IMAun","IMAun/00","IMAun/00","IMAun/00"
"IMAun_CO","IMAun_CO/00","IMAun_CO/00","IMAun_CO/00"
"IMAun_MT","IMAun_MT/00","IMAun_MT/00","IMAun_MT/00"
"IMAun_WA","IMAun_WA/00","IMAun_WA/00","IMAun_WA/00"
"IMAun_WY","IMAun_WY/00","IMAun_WY/00","IMAun_WY/00"
"IMAunp","IMAunp/00","IMAunp/00","IMAunp/00"
"IWFdm_CO","IWFdm_CO/102","IWFdm_CO/101","IWFdm_CO/113"
"IWFdw_OR","IWFdw_OR/103","IWFdw_OR/101","IWFdw_OR/113"
"IWFxk_NV","IWFxk_NV/103","IWFxk_NV/101","IWFxk_NV/111"
"IWFxm_CA","IWFxm_CA/103","IWFxm_CA/101","IWFxm_CA/112"
"JPWdm_WY","JPWdm_WY/Gg","JPWdm_WY/101","JPWdm_WY/113"
"JPWdw_UT","JPWdw_UT/103","JPWdw_UT/101","JPWdw_UT/113"
"JPWmk_WY","JPWmk_WY/103","JPWmk_WY/101","JPWmk_WY/113"
"JPWwm_CO","JPWwm_CO/103","JPWwm_CO/101","JPWwm_CO/113"
"JPWxh_CA","JPWxh_CA/103","JPWxh_CA/101","JPWxh_CA/111"
"JPWxw_NV","JPWxw_NV/103","JPWxw_NV/101","JPWxw_NV/113"
"MDCHun_NV","MDCHun_NV/Gg","MDCHun_NV/Gg","MDCHun_NV/110"
