Retire,SS_class,Source,Zone,SubzoneGroup,Subzone,BGC_Label,BGC,ZoneName,SubzoneName,General Location,OldSubzoneLabel,DataSet,State,Notes
,,BGCv11,ESSF,ESSF_wet,ESSFwc,ESSFwc 4,ESSFwc4,Engelmann Spruce -- Subalpine Fir,Wet Cold Selkirk ESSF,Wet Cold,,BC,BC,
,no,BGCv11,ESSF,ESSF_wet,ESSFwcp,ESSFwcp,ESSFwcp,Engelmann Spruce -- Subalpine Fir,Wet Cold Parkland   ESSF,Wet Cold Parkland,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwcw,ESSFwcw,ESSFwcw,Engelmann Spruce -- Subalpine Fir,Wet Cold Woodland   ESSF,Wet Cold Woodland,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwh,ESSFwh 1,ESSFwh1,Engelmann Spruce -- Subalpine Fir,Wet Hot Columbia ESSF,Wet Hot,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwh,ESSFwh 2,ESSFwh2,Engelmann Spruce -- Subalpine Fir,Wet Hot St Mary ESSF,Wet Hot,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwh,ESSFwh 3,ESSFwh3,Engelmann Spruce -- Subalpine Fir,Wet Hot Salmo ESSF,Wet Hot,,BC,BC,
,,USA_2019,ESSF,ESSF_wet,ESSFwh,ESSFwh_MT,ESSFwh_MT,Engelmann Spruce - Subalpine Fir,Wet Hot Montana ESSF,NE Washington & NW Montana (prob. ID),ESSFwhz,USA,MT,
,,BGCv11,ESSF,ESSF_wet,ESSFwk,ESSFwk 1,ESSFwk1,Engelmann Spruce -- Subalpine Fir,Wet Cool Cariboo ESSF,Wet Cool,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwk,ESSFwk 2,ESSFwk2,Engelmann Spruce -- Subalpine Fir,Wet Cool Misinchinka ESSF,Wet Cool,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwm,ESSFwm 1,ESSFwm1,Engelmann Spruce -- Subalpine Fir,Wet Mild Fernie ESSF,Wet Mild,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwm,ESSFwm 2,ESSFwm2,Engelmann Spruce -- Subalpine Fir,Wet Mild Purcell ESSF,Wet Mild,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwm,ESSFwm 3,ESSFwm3,Engelmann Spruce -- Subalpine Fir,Wet Mild Ymir ESSF,Wet Mild,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwm,ESSFwm 4,ESSFwm4,Engelmann Spruce -- Subalpine Fir,Wet Mild Moyie ESSF,Wet Mild,,BC,BC,
,,USA_2019,ESSF,ESSF_wet,ESSFwm,ESSFwm_MT,ESSFwm_MT,Engelmann Spruce - Subalpine Fir,Wet Mild Montana ESSF,NE Washington & NW Montana (prob. ID),ESSFwmz,USA,MT,
,,BGCv11,ESSF,ESSF_wet,ESSFwmp,ESSFwmp,ESSFwmp,Engelmann Spruce -- Subalpine Fir,Wet Mild Parkland   ESSF,Wet Mild Parkland,,BC,BC,
,no,USA_2019,ESSF,ESSF_wet,ESSFwmp,ESSFwmp_MT,ESSFwmp_MT,Engelmann Spruce - Subalpine Fir,Wet Mild Montana Parkland ESSF,NE Washington & N Idaho,ESSFwmzp,USA,MT,
,,BGCv11,ESSF,ESSF_wet,ESSFwmw,ESSFwmw,ESSFwmw,Engelmann Spruce -- Subalpine Fir,Wet Mild Woodland   ESSF,Wet Mild Woodland,,BC,BC,
,,BGCv11,ESSF,ESSF_wet,ESSFwv,ESSFwv,ESSFwv,Engelmann Spruce -- Subalpine Fir,Wet Very Cold   ESSF,Wet Very Cold,,BC,BC,
,no,BGCv11,ESSF,ESSF_wet,ESSFwvp,ESSFwvp,ESSFwvp,Engelmann Spruce -- Subalpine Fir,Wet Very Cold Parkland   ESSF,Wet Very Cold Parkland,,BC,BC,
,,BGCv12,ESSF,ESSF_wet,ESSFwvw,ESSFwvw,ESSFwvw,Engelmann Spruce - Subalpine Fir,Wet Very Cold Woodland   ESSF,,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFxc,ESSFxc 1,ESSFxc1,Engelmann Spruce -- Subalpine Fir,Very Dry Cold Similkameen ESSF,Very Dry Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFxc,ESSFxc 2,ESSFxc2,Engelmann Spruce -- Subalpine Fir,Very Dry Cold Thompson ESSF,Very Dry Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFxc,ESSFxc 3,ESSFxc3,Engelmann Spruce -- Subalpine Fir,Very Dry Cold Pavillion ESSF,Very Dry Cold,,BC,BC,
,,USA_2019,ESSF,ESSF_dry,ESSFxc,ESSFxc_CO,ESSFxc_CO,Engelmann Spruce - Subalpine Fir,Very Dry Cold Colorado ESSF,Colorado,ESSFcoz,USA,CO,
,,USA_2019,ESSF,ESSF_dry,ESSFxc,ESSFxc_WA,ESSFxc_WA,Engelmann Spruce - Subalpine Fir,Very Dry Cold Washington ESSF,WC Washington,ESSFxcz,USA,WA,
,no,BGCv11,ESSF,ESSF_dry,ESSFxcp,ESSFxcp,ESSFxcp,Engelmann Spruce -- Subalpine Fir,Very Dry Cold Parkland   ESSF,Very Dry Cold Parkland,,BC,BC,
,no,USA_2019,ESSF,ESSF_dry,ESSFxcp,ESSFxcp_CO,ESSFxcp_CO,Engelmann Spruce - Subalpine Fir,Very Dry Cold Colorado Parkland ESSF,Colorado,ESSFcozp,USA,CO,
,no,USA_2019,ESSF,ESSF_dry,ESSFxcp,ESSFxcp_WA,ESSFxcp_WA,Engelmann Spruce - Subalpine Fir,Very Dry Cold Washington Parkland ESSF,WC Washington,ESSFxczp,USA,WA,
,,BGCv11,ESSF,ESSF_dry,ESSFxcw,ESSFxcw,ESSFxcw,Engelmann Spruce -- Subalpine Fir,Very Dry Cold Woodland  ESSF,Very Dry Cold Woodland,,BC,BC,
,,USA_2019,ESSF,ESSF_dry,ESSFxh,ESSFxh_WA,ESSFxh_WA,Engelmann Spruce - Subalpine Fir,Very Dry Hot Washington ESSF,NE Washington & NW Montana (prob. ID),ESSFxhz,USA,WA,
,,USA_2019,ESSF,ESSF_dry,ESSFxk,ESSFxk_MT,ESSFxk_MT,Engelmann Spruce - Subalpine Fir,Very Dry Cool Montana ESSF,WC Montana,ESSFxxz,USA,MT,
,,USA_2019,ESSF,ESSF_dry,ESSFxk,ESSFxk_UT,ESSFxk_UT,Engelmann Spruce - Subalpine Fir,Very Dry Cool Utah ESSF,Utah,ESSFutz,USA,UT,
,,USA_2019,ESSF,ESSF_dry,ESSFxk,ESSFxk_WY,ESSFxk_WY,Engelmann Spruce - Subalpine Fir,Very Dry Cool Wyoming ESSF,"W Wyoming, SW Montana, S Idaho",,USA,WY,
,no,USA_2019,ESSF,ESSF_dry,ESSFxkp,ESSFxkp_MT,ESSFxkp_MT,Engelmann Spruce - Subalpine Fir,Very Dry Cool Montana Parkland ESSF,"S Montana, SE Idaho",ESSFxxzp,USA,MT,
,no,USA_2019,ESSF,ESSF_dry,ESSFxkp,ESSFxkp_UT,ESSFxkp_UT,Engelmann Spruce - Subalpine Fir,Very Dry Cool Utah Parkland ESSF,Utah,ESSFutzp,USA,UT,
,no,USA_2019,ESSF,ESSF_dry,ESSFxkp,ESSFxkp_WY,ESSFxkp_WY,Engelmann Spruce - Subalpine Fir,Very Dry Cool Wyoming Parkland ESSF,"W Wyoming, SW Montana, S Idaho",,USA,WY,
,,BGCv11,ESSF,ESSF_dry,ESSFxv,ESSFxv 1,ESSFxv1,Engelmann Spruce -- Subalpine Fir,Very Dry Very Cold West Chilcotin ESSF,Very Dry Very Cold,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFxv,ESSFxv 2,ESSFxv2,Engelmann Spruce -- Subalpine Fir,Very Dry Very Cold Big Creek ESSF,Very Dry Very Cold,,BC,BC,
,no,BGCv11,ESSF,ESSF_dry,ESSFxvp,ESSFxvp,ESSFxvp,Engelmann Spruce -- Subalpine Fir,Very Dry Very Cold Parkland   ESSF,Very Dry Very Cold Parkland,,BC,BC,
,,BGCv11,ESSF,ESSF_dry,ESSFxvw,ESSFxvw,ESSFxvw,Engelmann Spruce -- Subalpine Fir,Very Dry Very Cold Woodland  ESSF,Very Dry Very Cold Woodland,,BC,BC,
,,USA_2019,ESSF,ESSF_dry,ESSFxw,ESSFxw_OR,ESSFxw_OR,Engelmann Spruce - Subalpine Fir,Very Dry Warm Oregon ESSF,NE Oregon,ESSFxcy,USA,OR,
,no,USA_2019,ESSF,ESSF_dry,ESSFxwp,ESSFxwp_OR,ESSFxwp_OR,Engelmann Spruce - Subalpine Fir,Very Dry Warm Oregon Parkland ESSF,NE Oregon,ESSFxcyp,USA,OR,
,,USA_2019,ESSF,ESSF_dry,ESSFxx,ESSFxx_WY,ESSFxx_WY,Engelmann Spruce - Subalpine Fir,Very Dry Very Hot Wyoming ESSF,W Wyoming,,USA,WY,
,no,USA_2019,ESSF,ESSF_dry,ESSFxxp,ESSFxxp_WY,ESSFxxp_WY,Engelmann Spruce - Subalpine Fir,Very Dry Very Hot Wyoming ESSF Parkland,W Wyoming,,USA,WY,
,no,AB_2018,FG,FG,FGff,FG  ff,FGff,Fescue Grassland,Foothills FG,SW Alberta,FG  ff,AB,AB,
,no,AB_2018,FG,FG,FGnf,FG  nf,FGnf,Fescue Grassland,Northern FG,S Alberta,FG  nf,AB,AB,
,,USA_2019,GBD,GBD,GBDdw,GBD dw_UT,GBDdw_UT,Great Basin Desert,Dry Warm Utah GBD,"E Nevada, Utah, SW Wyoming",GBD xxx,USA,UT,
,,USA_2019,GBD,GBD,GBDxh,GBD xh_NV,GBDxh_NV,Great Basin Desert,Very Dry Hot Nevada GBD,"E California, W Nevada",GBD xxy,USA,NV,
,,USA_2019,GBD,GBD,GBDxx,GBD xx_UT,GBDxx_UT,Great Basin Desert,Very Dry Very Hot Utah GBD,SE Utah,GBD xxw,USA,UT,
,,USA_2019,GO,GO,GOun,GO  un_CO,GOun_CO,Gambel Oak ,Colorado GO,Colorado & Utah,GO  coz,USA,CO,
,,USA_2019,ICH,ICH_dry,ICHdh,ICH dh_ID,ICHdh_ID,Interior Cedar - Hemlock,Dry Hot Idaho ICH,Idaho & W Montana,ICH dhz,USA,ID,
,,BGCv11,ICH,ICH_dry,ICHdk,ICH dk,ICHdk,Interior Cedar -- Hemlock,Dry Cool   ICH ,Dry Cool,,BC,BC,
,,BGCv11,ICH,ICH_dry,ICHdm,ICH dm,ICHdm,Interior Cedar -- Hemlock,Dry Mild   ICH ,Dry Mild,,BC,BC,
,,BGCv11,ICH,ICH_dry,ICHdw,ICH dw 1,ICHdw1,Interior Cedar -- Hemlock,Dry Warm West Kootenay ICH ,Dry Warm,,BC,BC,
,,BGCv11,ICH,ICH_dry,ICHdw,ICH dw 3,ICHdw3,Interior Cedar -- Hemlock,Dry Warm North Thompson ICH ,Dry Warm,,BC,BC,
,,BGCv11,ICH,ICH_dry,ICHdw,ICH dw 4,ICHdw4,Interior Cedar -- Hemlock,Dry Warm Shuswap ICH ,Dry Warm,,BC,BC,
,,USA_2019,ICH,ICH_dry,ICHdw,ICH dw_ID,ICHdw_ID,Interior Cedar - Hemlock,Dry Warm Idaho ICH,NE Washington & N Idaho,ICH dwz,USA,ID,
,,BGCv11,ICH,ICH_meso,ICHmc,ICH mc 1,ICHmc1,Interior Cedar -- Hemlock,Moist Cold Nass ICH ,Moist Cold,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmca,ICH mc 1a,ICHmc1a,Interior Cedar -- Hemlock,Moist Cold Nass ICH ,Moist Cold,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmc,ICH mc 2,ICHmc2,Interior Cedar -- Hemlock,Moist Cold Hazelton ICH ,Moist Cold,,BC,BC,
,,USA_2019,ICH,ICH_meso,ICHmh,ICH mh_MT,ICHmh_MT,Interior Cedar - Hemlock,Moist Hot Montana ICH,NW Montana,ICH mwz,USA,MT,
,,BGCv11,ICH,ICH_meso,ICHmk,ICH mk 1,ICHmk1,Interior Cedar -- Hemlock,Moist Cool Okanagan ICH ,Moist Cool,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmk,ICH mk 2,ICHmk2,Interior Cedar -- Hemlock,Moist Cool Thompson ICH ,Moist Cool,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmk,ICH mk 3,ICHmk3,Interior Cedar -- Hemlock,Moist Cool Horsefly ICH ,Moist Cool,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmk,ICH mk 4,ICHmk4,Interior Cedar -- Hemlock,Moist Cool Kootenay ICH ,Moist Cool,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmk,ICH mk 5,ICHmk5,Interior Cedar -- Hemlock,Moist Cool Kootenay ICH ,Moist Cool,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmm,ICH mm,ICHmm,Interior Cedar -- Hemlock,Moist Mild   ICH ,Moist Mild,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmw,ICH mw 1,ICHmw1,Interior Cedar -- Hemlock,Moist Warm Kinbasket ICH ,Moist Warm,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmw,ICH mw 2,ICHmw2,Interior Cedar -- Hemlock,Moist Warm Slocan ICH ,Moist Warm,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmw,ICH mw 3,ICHmw3,Interior Cedar -- Hemlock,Moist Warm Thompson ICH ,Moist Warm,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmw,ICH mw 4,ICHmw4,Interior Cedar -- Hemlock,Moist Warm Ymir ICH ,Moist Warm,,BC,BC,
,,BGCv11,ICH,ICH_meso,ICHmw,ICH mw 5,ICHmw5,Interior Cedar -- Hemlock,Moist Warm Granby ICH ,Moist Warm,,BC,BC,
,,USA_2019,ICH,ICH_meso,ICHmw,ICH mw_MT,ICHmw_MT,Interior Cedar - Hemlock,Moist Warm Montana ICH,NW Montana,ICH mwy,USA,MT,
,,BGCv11,ICH,ICH_wet,ICHvc,ICH vc,ICHvc,Interior Cedar -- Hemlock,Very Wet Cold   ICH ,Very Wet Cold,,BC,BC,
,,BGCv11,ICH,ICH_wet,ICHvk,ICH vk 1,ICHvk1,Interior Cedar -- Hemlock,Very Wet Cool Columbia ICH ,Very Wet Cool,,BC,BC,
,,BGCv11,ICH,ICH_wet,ICHvk,ICH vk 2,ICHvk2,Interior Cedar -- Hemlock,Very Wet Cool Slim ICH ,Very Wet Cool,,BC,BC,
,,USA_2019,ICH,ICH_wet,ICHvk,ICH vk_ID,ICHvk_ID,Interior Cedar - Hemlock,Very Wet Cool Idaho ICH,W Montana,ICH dmz,USA,ID,
,,BGCv11,ICH,ICH_wet,ICHwc,ICH wc,ICHwc,Interior Cedar -- Hemlock,Wet Cold   ICH ,Wet Cold,,BC,BC,
,,BGCv11,ICH,ICH_wet,ICHwk,ICH wk 1,ICHwk1,Interior Cedar -- Hemlock,Wet Cool Shuswap ICH ,Wet Cool,,BC,BC,
,,BGCv11,ICH,ICH_wet,ICHwk,ICH wk 2,ICHwk2,Interior Cedar -- Hemlock,Wet Cool Quesnel ICH ,Wet Cool,,BC,BC,
,,BGCv11,ICH,ICH_wet,ICHwk,ICH wk 3,ICHwk3,Interior Cedar -- Hemlock,Wet Cool Goat ICH ,Wet Cool,,BC,BC,
,,BGCv11,ICH,ICH_wet,ICHwk,ICH wk 4,ICHwk4,Interior Cedar -- Hemlock,Wet Cool Cariboo ICH ,Wet Cool,,BC,BC,
,,BGCv12,ICH,ICH_dry,ICHxm,ICH xm1,ICHxm1,Interior Cedar -- Hemlock,Very Dry Mild   ICH ,,,BC,BC,
,,BGCv11,ICH,ICH_dry,ICHxw,ICH xw,ICHxw,Interior Cedar -- Hemlock,Very Dry Warm   ICH ,Very Dry Warm,,BC,BC,
,,BGCv11,ICH,ICH_dry,ICHxwa,ICH xw  a,ICHxwa,Interior Cedar -- Hemlock,Very Dry Warm  ICH ,Very Dry Warm,,BC,BC,
,,USA_2019,ICH,ICH_dry,ICHxw,ICH xw_WA,ICHxw_WA,Interior Cedar - Hemlock,Very Dry Warm Washington ICH,NE Washington,ICH xwz,USA,WA,
,,BGCv11,IDF,IDF_cool,IDFdc,IDF dc,IDFdc,Interior Douglas-fir,Dry Cold  IDF ,Dry Cold,,BC,BC,
,,BGCv12,IDF,IDF,IDFdh,IDF dh,IDFdh,Interior Douglas-fir,Dry Hot  IDF,,,BC,BC,
,,USA_2019,IDF,IDF,IDFdh,IDF dh_MT,IDFdh_MT,Interior Douglas-fir,Dry Hot Montana IDF,W Montana,IDF dhx,USA,MT,
,,USA_2019,IDF,IDF,IDFdh,IDF dh_UT,IDFdh_UT,Interior Douglas-fir,Dry Hot Utah IDF,"E Nevada, Utah, W Colorado",IDF utz,USA,UT,
,,USA_2019,IDF,IDF,IDFdh,IDF dh_WA,IDFdh_WA,Interior Douglas-fir,Dry Hot Washington IDF,NE Washington,IDF dhy,USA,WA,
,,BGCv11,IDF,IDF_cool,IDFdk,IDF dk 1,IDFdk1,Interior Douglas-fir,Dry Cool Thompson IDF ,Dry Cool,,BC,BC,
,,BGCv11,IDF,IDF_cool,IDFdk,IDF dk 2,IDFdk2,Interior Douglas-fir,Dry Cool Cascade IDF ,Dry Cool,,BC,BC,
,,BGCv11,IDF,IDF_cool,IDFdk,IDF dk 3,IDFdk3,Interior Douglas-fir,Dry Cool Fraser IDF ,Dry Cool,,BC,BC,
,,BGCv11,IDF,IDF_cool,IDFdk,IDF dk 4,IDFdk4,Interior Douglas-fir,Dry Cool Chilcotin IDF ,Dry Cool,,BC,BC,
,,BGCv11,IDF,IDF_cool,IDFdk,IDF dk 5,IDFdk5,Interior Douglas-fir,Dry Cool Columbia IDF ,Dry Cool,,BC,BC,
,,USA_2019,IDF,IDF_cool,IDFdk,IDF dk_MT,IDFdk_MT,Interior Douglas-fir,Dry Cool Montana IDF,NC Montana,IDF dxz,USA,MT,
,,USA_2019,IDF,IDF_cool,IDFdk,IDF dk_WA,IDFdk_WA,Interior Douglas-fir,Dry Cool Washington IDF,NC Washington,IDF dky,USA,WA,
,,USA_2019,IDF,IDF_cool,IDFdkx,IDF dkx_MT,IDFdkx_MT,Interior Douglas-fir,Dry Cool/Mild Montana IDF,"SC Montana, S Idaho, NW Wyoming",,USA,MT,
,,BGCv11,IDF,IDF_meso,IDFdm,IDF dm 1,IDFdm1,Interior Douglas-fir,Dry Mild Kettle IDF ,Dry Mild,,BC,BC,
,,BGCv11,IDF,IDF_meso,IDFdm,IDF dm 2,IDFdm2,Interior Douglas-fir,Dry Mild Kootenay IDF ,Dry Mild,,BC,BC,
,,USA_2019,IDF,IDF_meso,IDFdm,IDF dm_MT,IDFdm_MT,Interior Douglas-fir,Dry Mild Montana IDF,NW Montana,IDF dmz,USA,MT,
,,USA_2019,IDF,IDF_meso,IDFdm,IDF dm_WA,IDFdm_WA,Interior Douglas-fir,Dry Mild Washington IDF,NE Washington,IDF dmy,USA,WA,
,,BGCv11,IDF,IDF,IDFdw,IDF dw,IDFdw,Interior Douglas-fir,Dry Warm   IDF ,Dry Warm,,BC,BC,
,,USA_2019,IDF,IDF,IDFdx,IDF dx_MT,IDFdx_MT,Interior Douglas-fir,Dry Very Hot Montana IDF,"SW Montana, S Idaho",IDF xxz,USA,MT,
,,USA_2019,IDF,IDF,IDFdxx,IDF dxx_WY,IDFdxx_WY,Interior Douglas-fir,Dry Very Hot Wyoming IDF,Wyoming & SC Montana,,USA,WY,
x,,BGCv11,IDF,IDF_cool,IDFmw,IDF mw 1,IDFmw1,Interior Douglas-fir,Moist Warm Shuswap IDF ,Moist Warm,,BC,BC,
,,BGCv11,IDF,ICH_dry,IDFmw,IDF mw 2,IDFmw2,Interior Douglas-fir,Moist Warm Thompson IDF ,Moist Warm,,BC,BC,
,,BGCv11,IDF,IDF_meso,IDFww,IDF ww,IDFww,Interior Douglas-fir,Wet Warm   IDF ,Wet Warm,,BC,BC,
,,BGCv11,IDF,IDF_meso,IDFww,IDF ww 1,IDFww1,Interior Douglas-fir,Wet Warm Stein IDF ,Wet Warm,,BC,BC,
,,BGCv11,IDF,IDF_hot,IDFxc,IDF xc,IDFxc,Interior Douglas-fir,Very Dry Cold  IDF ,Very Dry Cold,,BC,BC,
,,BGCv11,IDF,IDF_hot,IDFxh,IDF xh 1,IDFxh1,Interior Douglas-fir,Very Dry Hot Okanagan IDF ,Very Dry Hot,,BC,BC,
,,BGCv11,IDF,IDF_hot,IDFxh,IDF xh 2,IDFxh2,Interior Douglas-fir,Very Dry Hot Thompson IDF ,Very Dry Hot,,BC,BC,
x,,BGCv11,IDF,IDF_hot,IDFxh,IDF xh 4,IDFxh4,Interior Douglas-fir,Very Dry Hot Boundary IDF ,Very Dry Hot,,BC,BC,
,,USA_2019,IDF,IDF_hot,IDFxh,IDF xh_ID,IDFxh_ID,Interior Douglas-fir,Very Dry Hot Idaho IDF,WC Idaho,IDF xhz,USA,ID,
,,USA_2019,IDF,IDF_hot,IDFxh,IDF xh_WA,IDFxh_WA,Interior Douglas-fir,Very Dry Hot Washington IDF,WC Washington,IDF xhy,USA,WA,
,,BGCv11,IDF,IDF_hot,IDFxk,IDF xk,IDFxk,Interior Douglas-fir,Very Dry Cool   IDF ,Very Dry Cool,,BC,BC,
,,BGCv11,IDF,IDF_hot,IDFxm,IDF xm,IDFxm,Interior Douglas-fir,Very Dry Mild   IDF ,Very Dry Mild,,BC,BC,
,,USA_2019,IDF,IDF_hot,IDFxm,IDF xm_CO,IDFxm_CO,Interior Douglas-fir,Very Dry Mild Colorado IDF,N and Central Colorado,IDF coz,USA,CO,
,,BGCv11,IDF,IDF_hot,IDFxw,IDF xw,IDFxw,Interior Douglas-fir,Very Dry Warm IDF,,IDF xw,BC,BC,
,,BGCv12,IDF,IDF_hot,IDFxx,IDF xx 1,IDFxx1,Interior Douglas-fir,Very Dry Very Hot Kettle IDF ,Very Dry Very Hot,,BC/USA,BC,
,,BGCv11,IDF,IDF_hot,IDFxx,IDF xx 2,IDFxx2,Interior Douglas-fir,Very Dry Very Hot Kootenay IDF ,Very Dry Very Hot,,BC,BC,
,,USA_2019,IDF,IDF_hot,IDFxx,IDF xx_MT,IDFxx_MT,Interior Douglas-fir,Very Dry Very Hot Montana IDF,NW Montana,IDF xxy,USA,MT,
,,USA_2019,IDF,IDF_hot,IDFxx,IDF xx_WA,IDFxx_WA,Interior Douglas-fir,Very Dry Very Hot Washington IDF,WC Washington,IDF xyz,USA,WA,
,,USA_2019,IGF,IGF_meso,IGFdk,IGF dk_WA,IGFdk_WA,Interior Grand Fir,Dry Cool Washington IGF,WC Washington,IGF dmz,USA,WA,
,,USA_2019,IGF,IGF_dry,IGFdw,IGF dw_OR,IGFdw_OR,Interior Grand Fir,Dry Warm Oregon IGF,NW Oregon & SC Washington,IGF mwz,USA,OR,
,,USA_2019,IGF,IGF_meso,IGFmh,IGF mh_OR,IGFmh_OR,Interior Grand Fir,Moist Hot Oregon IGF,NE Oregon,,USA,OR,
,,USA_2019,IGF,IGF_meso,IGFmm,IGF mm_OR,IGFmm_OR,Interior Grand Fir,Moist Mild Oregon IGF,NE Oregon & SW Idaho,IGF mmz,USA,OR,
,,USA_2019,IGF,IGF_dry,IGFxm,IGF xm_OR,IGFxm_OR,Interior Grand Fir,Very Dry Mild Oregon IGF,"NE Oregon, SE Washington, E Idaho",,USA,OR,
,,AB_2018,IMA,IMA,IMAab,IMA  ab,IMAab,Interior Mountain-heather Alpine,Alberta IMA,Alberta Rocky Mountains,AT  ab,AB,AB,
,,BGCv11,IMA,IMA,IMAun,IMA un,IMAun,Interior Mountain-heather Alpine,Undifferentiated  IMA ,Undifferentiated,,BC,BC,
,,USA_2019,IMA,IMA,IMAun,IMA un_CO,IMAun_CO,Interior Mountain-heather Alpine,Colorado IMA,Colorado,IMA us,USA,CO,
,,USA_2019,IMA,IMA,IMAun,IMA un_MT,IMAun_MT,Interior Mountain-heather Alpine,Montana IMA,Montana,IMA us,USA,MT,
,,USA_2019,IMA,IMA,IMAun,IMA un_WA,IMAun_WA,Interior Mountain-heather Alpine,Washington IMA,Washington,IMA us,USA,WA,
,,USA_2019,IMA,IMA,IMAun,IMA un_WY,IMAun_WY,Interior Mountain-heather Alpine,Wyoming IMA,Wyoming,IMA us,USA,WY,
,,BGCv11,IMA,IMA,IMAunp,IMA unp,IMAunp,Interior Mountain-heather Alpine,Undifferentiated and Parkland  IMA ,Undifferentiated and Parkland,,BC,BC,
,,USA_2019,IWF,IWF,IWFdm,IWF dm_CO,IWFdm_CO,Interior White Fir,Dry Mild Colorado IWF,S Colorado,IWF cow,USA,CO,
,,USA_2019,IWF,IWF,IWFdw,IWF dw_OR,IWFdw_OR,Interior White Fir,Dry Warm Oregon IWF,C Oregon,IWF dcz,USA,OR,
,,USA_2019,IWF,IWF,IWFxk,IWF xk_NV,IWFxk_NV,Interior White Fir,Very Dry Cool Nevada IWF,E Nevada,new,USA,NV,
,,USA_2019,IWF,IWF,IWFxm,IWF xm_CA,IWFxm_CA,Interior White Fir,Very Dry Mild Nevada IWF,"E CA, W NV, near Lake Tahoe",IWF nvy,USA,CA,
,,USA_2019,JPW,JPW,JPWdm,JPW dm_WY,JPWdm_WY,Juniper -  Pine Woodland,Dry Mild Wyoming JPW,Wyoming,JPW wy,USA,WY,
,,USA_2019,JPW,JPW,JPWdw,JPW dw_UT,JPWdw_UT,Juniper -  Pine Woodland,Dry Warm Utah JPW,"E Utah, W Colorado",JPW cop,USA,UT,
,,USA_2019,JPW,JPW,JPWmk,JPW mk_WY,JPWmk_WY,Juniper -  Pine Woodland,Moist Cool Wyoming JPW,Wyoming,JPW wyp,USA,WY,
,,USA_2019,JPW,JPW,JPWwm,JPW wm_CO,JPWwm_CO,Juniper -  Pine Woodland,Wet Mild Colorado JPW,S Colorado,JPW srm,USA,CO,
,,USA_2019,JPW,JPW,JPWxh,JPW xh_CA,JPWxh_CA,Juniper -  Pine Woodland,Very Dry Hot California JPW,S CA,new,USA,CA,
,,USA_2019,JPW,JPW,JPWxw,JPW xw_NV,JPWxw_NV,Juniper -  Pine Woodland,Very Dry Warm Nevada JPW,"CA, NV, W Utah, S ID",JPW gbz,USA,NV,
,,USA_2019,MDCH,MDCH,MDCHun,MDCHun_NV,MDCHun_NV,Madrean Chaparral,Nevada MDCH,"Nevada, Utah, Arizona",MDCH un,USA,NV,
,,AB_2018,MGP,MGP,MGPdm,MGP dm,MGPdm,Mixed-grass Prairie,Dry Mixed Grass MGP,Alberta,FF  dm,USA,MT,
,,AB_2018,MGP,MGP,MGPmg,MGP mg,MGPmg,Mixed-grass Prairie,Mixed Grass MGP,Alberta,FF  mg,USA,MT,
,,USA_2019,MGP,MGP,MGPmw,MGP mw_MT,MGPmw_MT,Mixed-grass Prairie,Moist Warm Montana MGP,"Montana, E Wyoming",MGP un,USA,MT,
,,USA_2019,MH,MH_maritime,MHdm,MH  dm_OR,MHdm_OR,Mountain Hemlock,Dry Maritime Oregon MH,SW Washington & W Oregon,MH  dmz,USA,OR,
,,USA_2019,MH,MH_submaritme,MHds,MH  ds_OR,MHds_OR,Mountain Hemlock,Dry Submaritime Oregon MH,W Oregon,MH  dsz,USA,OR,
,,USA_2019,MH,MH_submaritme,MHds,MH  ds_WA,MHds_WA,Mountain Hemlock,Dry Submaritime Washinton MH,W Washington,MH  dsz,USA,WA,
,,BGCv11,MH,MH_maritime,MHmm,MH  mm 1,MHmm1,Mountain Hemlock,Moist Maritime Windward MH  ,Moist Maritime,,BC,BC,
