"index","GCM","SSP","RUN","PERIOD","BAFAun","BAFAunp","CMAun","CMAunp","CWHws2","ESSFdcw","ESSFdkp","ESSFdkw","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmcp","ESSFmcw","ESSFmk","ESSFmkp","ESSFmkw","ESSFmm1","ESSFmmp","ESSFmmw","ESSFmv1","ESSFmv3","ESSFmvp","ESSFmw","ESSFunp","ESSFwc2","ESSFwcw","ESSFwmp","ESSFwv","ESSFwvp","ESSFwvw","ESSFxc3","ESSFxcp","ESSFxv1","ESSFxv2","ESSFxvp","ICHdw3","ICHmc1","ICHmc2","ICHmk2","IDFdk1","IDFxm","IMAun","IMAunp","MHmm2","MHmmp","SBSdk","SBSmc2","SBSwk1","SBSwk3","CWHds2","ESSFdc1","ESSFdc2","ESSFmwp","ESSFxcw","ICHmk3","ICHmw3","IDFdk2","IDFdk3","IDFdk4","MSdm2","MSxk2","MSxk3","SBSdw2","SBSmm","CMAun_WA","CWHms1","ESSFdh2","ESSFdk2","ESSFmh","ESSFmm3","ESSFmw1","ESSFmw2","ESSFwc3","ESSFwc4","ESSFwcp","ESSFwh1","ESSFwk1","ESSFwk2","ESSFwm2","ESSFxc2","ICHmk1","ICHmm","ICHmw1","ICHmw2","ICHmw5","ICHwk1","ICHxm1","IDFdc","IDFdk5","IDFdw","IDFmw2","IDFww","IDFxc","IDFxh2","MSdc1","MSdc3","MSdm1","SBSdh1","SBSdw3","SBSmh","SBSmk1","SBSmw","SBSwk2","ESSFdh1","ESSFmww","ESSFwh2","ESSFwmw","ICHdw4","ICHmk5","MSdk","MSdw","MSxk1","MSxv","ESSFabN","ESSFmm2","IMAab","SBSdh2","ESSFdv1","IDFxw","ICHwk3","ICHwk4","SBSdw1","ESSFwm1","ICHvc","SBSmc1","ICHwk2","ESSFdk1","ESSFwh3","ESSFwm_MT","ESSFwm3","ESSFwm4","ESSFxc1","ICHmk4","ESSFmv2","ICHvk1","ICHwc","CWHds1","ESSFvcp","ICHvk2","IDFxh1","SBSvk","ICHdm","ICHmw4","IDFdm2","BWBSwk1","ESSFvc","MHmm1","ESSFxh_WA","ESSFvh_ID","ICHdw1","ICHxw_WA","IMAun_MT","MHmm_WA","MSdm_WA","CWHms_WA","CWHvm_WA","ESSFmw_WA","ICHdw_ID","ICHxw","ICHxwa","MHms_WA","CWHws1","CWHvm2","CWHwm","ESSFvcw","IDFdm1","IDFww1","GOun_CO","CWHds_WA","IDFdh","IDFdh_UT","IDFxk","IDFxx1","PPxh1","CWHdm","CWHvm1","MSdh_UT"
23,"MIROC6","ssp245","ensembleMean","2001_2020",1305,332,1593,2155,13523,59,6,12,11,64,13,7743,641,1895,151,1202,706,NA,18,NA,NA,52,2,2,NA,645,41,2,6872,971,1338,1,1,NA,3,11,747,4769,4866,8537,3832,1958,202,16,10896,3330,12251,29381,19,210,NA,43,347,2,2,NA,12,554,NA,85,1462,NA,NA,NA,NA,NA,186,3,2,1,NA,NA,2,NA,NA,11,NA,42,NA,NA,NA,53,NA,2,NA,NA,9,NA,680,NA,NA,NA,NA,NA,NA,120,NA,6,NA,1361,NA,91,14,102,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",1166,502,1539,2571,16110,144,6,NA,18,98,49,6538,593,1676,161,1270,709,NA,5,1,NA,1,NA,2,NA,854,36,9,7816,1126,1253,1,4,NA,NA,7,1637,6238,6823,11767,5493,1385,219,120,12081,3319,9249,18799,NA,86,29,64,1124,6,1,NA,9,577,NA,20,2796,NA,NA,NA,NA,2,204,72,NA,NA,NA,NA,28,NA,NA,2,NA,4,NA,NA,33,92,NA,NA,NA,NA,8,NA,784,NA,NA,NA,NA,NA,NA,181,NA,21,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",2345,516,1365,540,6353,NA,17,4,12,49,NA,14730,1263,3238,3686,2618,1597,25,136,19,80,352,6,NA,234,285,18,NA,1799,274,334,NA,NA,51,13,146,67,1049,1337,1405,1281,1967,216,NA,10458,1697,12148,46076,21,2203,53,2,23,5,NA,NA,6,92,NA,358,122,NA,NA,NA,1,NA,259,NA,134,NA,44,NA,NA,NA,NA,1,NA,11,2,NA,NA,NA,1,340,NA,NA,5,NA,89,3,57,NA,NA,NA,1,NA,NA,4,13,2099,NA,1129,NA,630,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",752,22,670,5429,19531,89,1,NA,12,37,18,1567,277,596,NA,57,15,NA,NA,NA,NA,3,1,3,NA,1025,11,13,10993,1362,1188,NA,NA,NA,NA,NA,101,10231,16333,16457,6266,351,93,256,8552,2432,8132,7041,232,NA,NA,50,200,21,NA,NA,78,3149,NA,NA,2229,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,13,NA,8,1,NA,227,2,NA,NA,11,NA,NA,NA,NA,4,NA,770,NA,NA,NA,NA,NA,NA,99,NA,34,NA,NA,NA,NA,1,414,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,22,33,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",1798,726,1138,475,6107,150,25,15,63,64,22,12197,929,2670,3256,2786,2162,NA,31,4,NA,178,3,8,NA,732,86,85,4077,771,1132,3,11,7,16,49,114,2281,2010,4760,2564,1444,314,12,9256,1997,10692,41604,97,355,75,192,1252,1,2,NA,111,476,NA,145,722,NA,NA,7,9,3,107,56,26,34,7,NA,5,NA,12,17,3,66,1,4,55,89,NA,22,3,NA,168,NA,76,NA,50,NA,22,NA,NA,141,2,12,NA,2934,NA,965,NA,427,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",1775,1378,627,91,3487,610,142,81,49,28,13,13396,937,2743,5001,3209,3244,NA,50,1,NA,809,83,174,NA,292,133,216,1783,427,643,2,19,35,12,55,47,741,1193,946,2023,769,459,3,7234,867,9497,38641,683,922,387,533,1475,2,3,NA,80,1294,NA,NA,621,NA,NA,1278,2,43,1,8,1112,140,33,2,NA,8,9,51,8,140,21,29,60,57,NA,109,32,3,106,NA,7,148,163,NA,64,NA,NA,41,3,1,NA,3988,NA,8231,NA,764,NA,NA,9,30,NA,NA,647,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",1343,370,1530,1858,11623,29,8,5,43,76,40,8572,820,2450,690,1802,1184,1,29,6,NA,1,4,1,NA,608,46,NA,6384,1034,1162,1,NA,NA,9,26,877,4826,4709,7938,4596,1767,263,27,11397,2795,11043,30597,3,416,NA,62,994,6,5,NA,8,452,NA,136,1618,NA,NA,NA,NA,NA,230,39,NA,2,NA,NA,6,NA,3,NA,NA,10,NA,NA,13,57,NA,NA,NA,NA,24,NA,667,NA,NA,NA,NA,NA,NA,141,4,26,NA,7,NA,NA,NA,57,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",1076,293,1137,644,11371,1555,50,17,13,18,2,4144,331,751,534,2064,1828,NA,17,5,NA,136,NA,NA,NA,3740,384,354,3852,713,897,NA,4,NA,NA,6,72,1522,2777,4269,2615,79,451,50,9693,2879,7784,18876,3294,59,42,1048,3773,2,NA,NA,61,1440,NA,NA,3791,NA,NA,1283,NA,3,142,4,63,212,14,3,12,89,241,310,136,933,250,78,2,373,NA,188,122,22,484,NA,141,3,NA,NA,NA,NA,NA,32,NA,21,NA,6379,5,12632,13,1005,NA,NA,7,72,NA,NA,2,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,47,1700,NA,NA,1,19,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",1076,293,1137,644,11371,1555,50,17,13,18,2,4144,331,751,534,2064,1828,NA,17,5,NA,136,NA,NA,NA,3740,384,354,3852,713,897,NA,4,NA,NA,6,72,1522,2777,4269,2615,79,451,50,9693,2879,7784,18876,3294,59,42,1048,3773,2,NA,NA,61,1440,NA,NA,3791,NA,NA,1283,NA,3,142,4,63,212,14,3,12,89,241,310,136,933,250,78,2,373,NA,188,122,22,484,NA,141,3,NA,NA,NA,NA,NA,32,NA,21,NA,6379,5,12632,13,1005,NA,NA,7,72,NA,NA,2,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,47,1700,NA,NA,1,19,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",1498,333,1324,590,10655,210,3,13,11,32,8,8212,683,2092,1080,2190,1613,1,39,3,NA,173,3,3,NA,1741,144,81,5901,931,1339,NA,2,NA,NA,10,252,4510,3629,5866,2037,1433,272,7,9783,2965,12007,34016,222,191,21,90,533,1,NA,NA,33,598,NA,NA,1271,NA,NA,29,5,NA,150,2,1,NA,3,NA,5,NA,16,58,9,122,41,3,NA,105,NA,141,2,NA,215,NA,49,NA,NA,NA,NA,NA,NA,25,NA,3,1,4203,5,946,131,629,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",90,247,206,368,5080,528,NA,NA,28,7,25,8,11,31,39,521,262,NA,37,3,NA,NA,NA,6,NA,2767,241,56,1215,174,205,3,NA,NA,4,2,201,374,2331,12634,2973,NA,100,15,8747,986,NA,64,1817,NA,530,2100,1633,15,NA,NA,6069,8930,NA,NA,13491,NA,NA,NA,NA,637,1428,60,NA,2750,NA,115,54,172,469,171,962,1202,NA,93,NA,11500,25,147,2505,5605,6029,1609,834,1198,NA,4408,214,122,2162,NA,NA,253,2567,156,694,2960,NA,5,9,23,87,1,974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,18,1,2,NA,NA,NA,10,NA,3,2,4,7,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",88,31,132,1780,7902,62,NA,NA,204,36,95,29,47,78,2,201,71,NA,4,NA,NA,NA,NA,NA,NA,2216,122,NA,2455,270,202,NA,NA,NA,5,22,634,1500,7323,13195,10375,NA,77,14,7956,382,NA,105,622,NA,NA,644,2754,43,NA,NA,8604,6115,NA,NA,21618,NA,NA,NA,NA,196,3594,45,NA,828,NA,410,222,64,211,61,102,154,NA,NA,NA,2376,18,NA,1072,1004,3120,1484,2390,NA,NA,2706,222,1706,4944,NA,NA,472,1025,NA,NA,661,NA,6,19,162,NA,NA,247,NA,NA,NA,NA,1,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",186,94,209,676,9850,242,NA,NA,113,10,18,8,17,22,16,579,192,NA,14,NA,NA,NA,NA,4,NA,4363,195,8,1932,226,185,NA,NA,NA,3,3,859,390,1625,17625,5550,NA,106,3,10367,904,NA,65,1271,NA,157,955,2840,4,NA,NA,6374,4283,NA,NA,19839,NA,NA,NA,NA,350,1813,72,NA,1560,NA,19,17,66,166,157,244,367,NA,1,NA,5231,31,102,326,3037,5370,924,4174,428,NA,3716,156,1176,1699,NA,NA,47,2575,NA,83,604,NA,138,NA,NA,NA,NA,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,36,NA,NA,NA,NA,NA,9,NA,2,NA,128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",45,24,346,597,10015,284,NA,NA,NA,1,1,NA,27,10,21,222,112,NA,4,NA,NA,NA,NA,NA,NA,1934,174,18,1611,292,132,NA,NA,NA,NA,1,34,1027,23050,12671,359,NA,130,15,7126,1904,NA,NA,1477,NA,421,1623,148,NA,NA,NA,4357,11971,NA,NA,2919,NA,NA,NA,NA,14,409,10,NA,2231,NA,11,21,430,765,182,1275,2588,NA,116,NA,7288,NA,NA,6562,7256,3619,2479,NA,NA,NA,912,NA,NA,3119,NA,NA,749,125,NA,76,220,NA,NA,NA,5,76,6,1414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,143,NA,NA,NA,NA,115,NA,111,1,NA,NA,NA,NA,NA,43,NA,NA,2,5,NA,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",413,48,978,1830,20655,112,NA,2,NA,11,13,100,168,147,12,401,85,3,7,NA,NA,NA,NA,NA,NA,3008,81,12,7060,835,662,NA,NA,NA,NA,NA,847,4454,9245,36590,710,NA,87,32,10704,3461,243,758,576,NA,717,893,402,3,NA,NA,792,6936,NA,NA,5741,NA,NA,NA,NA,NA,57,25,NA,1139,NA,NA,15,62,12,59,17,865,3,NA,NA,1232,NA,NA,106,48,378,82,471,NA,NA,332,NA,NA,879,7,NA,1620,NA,NA,NA,3,NA,151,NA,NA,1,5,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",414,170,936,1288,17468,632,NA,2,NA,14,16,535,170,348,37,820,371,3,29,NA,NA,NA,NA,NA,NA,2905,152,51,4613,577,648,NA,1,NA,NA,1,753,1854,4350,34092,4046,115,146,26,10475,3007,771,491,1501,NA,427,1753,2115,7,10,NA,974,5299,NA,NA,8304,NA,NA,NA,NA,NA,83,31,1,1505,NA,NA,7,52,33,143,21,787,14,3,6,2109,NA,1,246,169,510,211,1025,3,NA,358,NA,NA,1283,49,NA,1102,25,1182,NA,3458,NA,231,NA,NA,5,7,193,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",595,280,920,658,13282,337,NA,5,10,10,24,1581,309,923,210,1260,828,4,6,NA,NA,NA,1,61,NA,1894,88,40,6069,661,744,NA,NA,NA,NA,NA,495,4164,4699,33533,5273,333,141,22,10928,3012,1811,3927,654,NA,1011,841,2578,11,NA,NA,771,6060,20,NA,8635,NA,NA,NA,7,3,106,12,3,995,NA,10,28,19,30,41,33,199,1,9,NA,748,NA,28,213,60,750,35,747,2,NA,200,NA,NA,717,5,NA,338,NA,1691,NA,319,NA,376,NA,NA,NA,2,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,93,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",572,7,1032,3529,28325,101,NA,NA,NA,6,5,94,210,106,3,161,1,1,2,NA,NA,NA,NA,NA,NA,2064,25,13,10665,1229,845,NA,NA,NA,NA,NA,272,8544,11472,29180,788,4,71,48,11276,3661,927,102,54,NA,383,207,29,2,NA,NA,183,5669,NA,NA,3519,NA,NA,NA,NA,NA,84,70,NA,96,NA,NA,8,10,1,12,NA,167,5,NA,NA,238,NA,NA,NA,NA,7,NA,550,NA,NA,74,NA,NA,NA,44,NA,699,NA,NA,NA,NA,NA,20,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,70,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",53,NA,375,1530,11458,90,NA,NA,NA,NA,NA,NA,8,NA,NA,20,NA,24,49,NA,NA,NA,NA,NA,NA,514,154,33,2716,425,128,NA,NA,NA,NA,NA,6,2896,30062,1846,566,NA,101,38,7654,1903,NA,NA,1951,NA,128,1693,35,1,NA,NA,1187,9971,NA,NA,614,NA,NA,NA,NA,NA,165,8,NA,2995,NA,6,42,405,995,166,1244,3445,NA,18,3,7786,NA,NA,6897,10814,819,3736,NA,NA,NA,169,NA,NA,1075,NA,NA,5496,NA,NA,531,170,NA,NA,NA,NA,2,22,1525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,NA,9,NA,NA,234,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",254,302,870,824,11019,1004,NA,NA,NA,5,3,20,53,4,9,310,31,60,83,NA,NA,NA,NA,105,NA,937,56,144,3086,529,329,NA,4,NA,NA,9,36,1229,10408,17252,1940,NA,176,40,10654,3352,NA,75,3286,NA,1694,4028,138,2,9,NA,626,14775,NA,NA,2243,NA,NA,NA,NA,33,27,4,NA,6798,NA,8,15,337,68,35,355,2667,38,33,121,7680,NA,NA,1932,1917,676,562,NA,NA,NA,402,NA,NA,533,NA,NA,4164,NA,110,NA,5340,11,620,NA,1,22,35,523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,NA,183,23,NA,258,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",16,NA,252,1047,6879,262,NA,NA,NA,1,1,NA,4,NA,NA,20,NA,5,58,NA,NA,NA,NA,NA,NA,228,229,46,942,175,104,NA,NA,NA,NA,NA,3,694,18085,854,1622,NA,39,51,6571,1259,NA,NA,1767,NA,147,2560,21,9,NA,NA,502,8741,NA,NA,590,NA,NA,NA,NA,13,529,26,NA,3760,NA,239,66,392,1316,213,1887,2665,NA,54,5,12724,NA,NA,9711,19538,584,11099,NA,NA,NA,117,NA,NA,2140,NA,NA,2959,NA,NA,26,716,NA,NA,42,35,53,37,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,NA,8,NA,NA,182,NA,113,46,NA,53,NA,NA,NA,6,NA,NA,NA,33,NA,253,1,6,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,"EC-Earth3","ssp245","r4i1p1f1","2021_2040",88,NA,437,1471,13771,150,NA,NA,NA,NA,1,NA,21,NA,NA,46,NA,16,34,NA,NA,NA,NA,NA,NA,414,110,21,3216,537,183,NA,NA,NA,NA,1,NA,2274,25599,3033,820,NA,106,64,8907,2118,NA,NA,2416,NA,312,1985,75,2,NA,NA,1657,9813,NA,NA,791,NA,NA,NA,NA,NA,104,24,NA,3088,NA,1,40,183,252,122,660,3494,NA,19,37,8386,NA,NA,4594,8333,725,4450,NA,NA,NA,445,NA,NA,1060,NA,NA,8805,NA,NA,46,85,NA,10,NA,NA,3,23,1386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,203,NA,3,1,NA,346,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,"GFDL-ESM4","ssp245","ensembleMean","2021_2040",362,71,754,1829,21178,82,NA,NA,3,7,13,63,129,99,15,557,105,2,8,NA,NA,NA,NA,NA,NA,2859,53,6,7173,725,557,NA,NA,NA,NA,NA,865,7827,13977,31256,2266,33,72,30,10129,3046,499,143,94,NA,191,314,220,9,NA,NA,880,5696,NA,NA,7444,NA,NA,NA,NA,NA,247,30,NA,291,NA,NA,36,11,31,35,20,221,3,NA,NA,1118,NA,1,167,33,491,95,818,NA,NA,217,NA,NA,1247,2,NA,530,NA,NA,NA,NA,NA,122,NA,NA,NA,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,15,NA,78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,"GFDL-ESM4","ssp245","r1i1p1f1","2021_2040",360,207,734,1154,19445,113,NA,NA,1,14,16,67,124,75,36,711,123,1,5,NA,NA,NA,NA,NA,NA,2735,72,3,6530,683,547,NA,NA,NA,NA,NA,516,7393,14739,30349,2733,4,60,30,10087,2961,235,161,62,NA,744,588,172,13,NA,NA,1072,7396,NA,NA,6651,NA,NA,NA,NA,6,130,40,NA,603,NA,2,52,1,53,56,47,249,NA,4,NA,1509,NA,NA,379,150,637,284,525,NA,NA,290,NA,NA,1632,6,NA,830,6,NA,NA,NA,NA,8,NA,NA,5,NA,262,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
