"index","GCM","SSP","RUN","PERIOD","CMAun","CMAun_WA","CMAunp","CWHmm1","CWHmm2","CWHvm_WA","CWHvm1","CWHvm2","CWHxm2","MHmm_WA","MHmm1","MHmmp","MHwh1","MHwhp","CWHdm","CWHdm_WA","CWHmh_OR","CWHvh_WA","CWHwh_WA","CWHwh2","MHwh","MHmm2","CWHdm_OR","CWHms2","CWHvh2","CWHds1","CMXwm_OR","CWHvh1","CWHvh3","CWHwh1","CWHvm_OR"
70,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",NA,NA,NA,NA,735,416,17470,6659,4483,13,893,NA,NA,NA,2540,1747,2359,2592,1952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,NA,89,251,20385,4830,1512,1,369,NA,NA,NA,1200,1464,3079,3108,5545,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA
72,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",NA,NA,NA,NA,104,NA,20218,5457,2650,NA,499,NA,NA,NA,5239,24,144,5825,1612,NA,NA,NA,NA,37,NA,NA,NA,50,NA,NA,NA
73,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",NA,4,1,93,1030,3367,11249,4370,5222,706,725,NA,NA,NA,28,5720,4610,586,4148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,28,422,4381,13017,4486,1908,531,485,NA,NA,NA,7,5170,5018,388,6018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",NA,9,4,117,976,4999,7426,4819,8321,679,1020,NA,NA,NA,147,5576,3862,723,3181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",NA,9,NA,18,1381,3259,11533,4120,5373,704,726,NA,NA,NA,NA,5447,4420,711,4158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",NA,NA,NA,NA,8,49,19791,6328,4948,NA,805,NA,3,NA,1884,1633,1185,3406,1607,NA,NA,NA,NA,31,181,NA,NA,NA,NA,NA,NA
78,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,NA,NA,NA,1,30,21532,6059,2153,NA,666,NA,NA,NA,2493,98,326,5413,3057,NA,NA,NA,NA,NA,5,NA,NA,26,NA,NA,NA
79,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",NA,NA,5,98,605,1690,13100,6070,9750,85,1217,NA,NA,NA,1981,3452,1981,370,1454,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",NA,NA,NA,NA,NA,52,20485,5999,4501,NA,771,NA,8,NA,2695,966,298,3579,1211,NA,NA,3,NA,553,738,NA,NA,NA,NA,NA,NA
81,"MIROC6","ssp245","ensembleMean","2041_2060",NA,2,3,48,685,1577,13931,6417,5911,418,973,NA,NA,NA,52,3973,2370,2398,3101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"MIROC6","ssp245","r1i1p1f1","2041_2060",NA,NA,3,NA,NA,31,19730,7763,2467,4,1022,NA,NA,NA,1096,1222,118,5255,3135,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA
83,"MIROC6","ssp245","r2i1p1f1","2041_2060",NA,8,NA,143,1613,10668,2622,2647,2951,1782,437,NA,NA,NA,NA,9487,4516,389,4596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",NA,56,6,355,2054,4227,7890,5374,7898,1061,1459,NA,NA,NA,165,4811,2823,1376,2304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",NA,3,9,NA,83,1083,13235,7747,7370,454,1471,NA,NA,16,27,3813,1036,3367,2145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",NA,61,1,1835,3831,9411,1111,2570,5703,2182,758,NA,NA,NA,6,8251,4039,140,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",NA,NA,3,NA,94,443,16557,6285,7287,83,802,NA,NA,NA,1155,3862,2342,1222,1701,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA
88,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",NA,NA,3,NA,94,443,16557,6285,7287,83,802,NA,NA,NA,1155,3862,2342,1222,1701,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA
89,"ensembleMean","ssp245","ensembleMean","2041_2060",NA,2,NA,16,386,945,14596,5870,7463,65,747,NA,NA,NA,526,3960,3836,821,2626,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
