"index","GCM","SSP","RUN","PERIOD","BAFAun","BAFAunp","BGxh2","BGxh3","BGxw2","BWBSuf","CMAun","CMAunp","CWHds1","CWHds2","CWHms1","CWHws2","ESSFabN","ESSFdc2","ESSFdk2","ESSFdkw","ESSFdv2","ESSFdvp","ESSFdvw","ESSFmc","ESSFmcp","ESSFmcw","ESSFmk","ESSFmkp","ESSFmm1","ESSFmmp","ESSFmv1","ESSFmv3","ESSFmvp","ESSFmw","ESSFmwp","ESSFwc3","ESSFwcp","ESSFwcw","ESSFwk1","ESSFwv","ESSFwvp","ESSFxc_CO","ESSFxc_WA","ESSFxc3","ESSFxcp","ESSFxcw","ESSFxk_UT","ESSFxv1","ESSFxv2","ESSFxvp","ICHdk","ICHmc1","ICHmc2","ICHmk3","ICHwk2","ICHwk3","ICHwk4","IDFdc","IDFdk1","IDFdk3","IDFdk4","IDFdw","IDFww","IDFxh2","IDFxm","IDFxw","IMAun","IMAun_CO","IMAunp","MHmm2","MHmmp","MSabN","MSdc2","MSdh_UT","MSdk_CO","MSdv","MSxk1","MSxk2","MSxk3","MSxv","PPxh2","SBAPfp","SBPSdc","SBPSmc","SBPSmk","SBPSxc","SBSdk","SBSdw1","SBSdw2","SBSmc1","SBSmc2","SBSmc3","SBSmh","SBSmm","SBSmw","SBSvk","SBSwk1","SWBmk"
47,"GFDL-ESM4","ssp245","r2i1p1f1","2021_2040",759,130,4,162,48,NA,4,196,3,27,25,9,1,NA,NA,NA,NA,17,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,19,NA,NA,2,NA,30,NA,NA,19,NA,3,NA,NA,NA,451,4,88,NA,1,NA,NA,668,NA,8,1,38,672,306,112,1,40,849,13,208,NA,1,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,412,NA,NA,NA,NA,19,187,29,63,NA,NA,26,NA,79,NA,NA,NA,NA,NA
48,"GFDL-ESM4","ssp245","r3i1p1f1","2021_2040",532,179,2,17,NA,NA,3,197,2,42,12,5,1,NA,NA,NA,NA,19,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,12,NA,7,NA,NA,36,NA,NA,NA,NA,NA,328,NA,34,NA,NA,NA,NA,204,NA,12,NA,19,299,196,4,2,13,182,1,159,1,NA,89,NA,NA,NA,NA,3,NA,NA,NA,NA,275,NA,NA,1,NA,78,21,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
49,"GISS-E2-1-G","ssp245","ensembleMean","2021_2040",624,99,4,108,NA,2,7,91,2,41,7,7,9,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,NA,72,NA,NA,17,NA,NA,NA,NA,NA,91,NA,10,NA,NA,NA,NA,786,NA,NA,NA,16,472,5,24,9,33,1983,NA,142,NA,NA,41,NA,NA,NA,NA,6,NA,NA,NA,NA,17,1,NA,NA,NA,4,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
50,"GISS-E2-1-G","ssp245","r1i1p3f1","2021_2040",324,107,4,47,NA,NA,1,120,2,33,8,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,NA,NA,NA,NA,NA,490,NA,NA,NA,17,357,3,12,6,29,1113,NA,80,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,1,NA,NA,NA,36,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,"GISS-E2-1-G","ssp245","r2i1p3f1","2021_2040",538,122,2,82,NA,3,NA,168,3,44,8,8,13,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,28,NA,83,NA,NA,34,NA,NA,NA,NA,NA,151,NA,41,NA,NA,NA,NA,670,NA,3,NA,20,734,51,12,5,38,1848,NA,194,NA,NA,51,NA,NA,NA,NA,4,NA,NA,NA,NA,91,3,NA,NA,NA,9,6,4,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA
52,"GISS-E2-1-G","ssp245","r3i1p3f1","2021_2040",1075,111,4,150,20,3,8,33,4,40,4,11,6,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,16,NA,65,NA,NA,64,NA,NA,NA,NA,NA,65,NA,16,NA,NA,NA,NA,914,NA,NA,NA,23,765,51,71,4,26,2158,NA,141,13,NA,49,NA,NA,NA,NA,9,NA,NA,NA,NA,184,1,NA,1,NA,7,197,15,4,NA,NA,53,NA,2,NA,NA,NA,NA,NA
53,"MIROC6","ssp245","ensembleMean","2021_2040",468,160,4,39,NA,2,1,187,3,36,10,8,8,NA,NA,NA,NA,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,7,NA,6,NA,NA,29,NA,NA,NA,NA,NA,251,2,39,NA,NA,NA,NA,320,NA,7,NA,27,442,12,3,8,26,1278,NA,202,1,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,1,NA,NA,NA,39,NA,1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",899,181,4,154,NA,3,1,182,5,38,17,9,19,NA,NA,NA,NA,124,NA,NA,NA,NA,NA,NA,16,NA,1,NA,NA,5,NA,NA,56,NA,110,2,NA,38,NA,NA,NA,NA,NA,445,NA,152,NA,NA,NA,NA,742,NA,6,NA,41,640,81,33,8,35,2211,NA,355,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,452,3,NA,NA,NA,19,109,8,NA,NA,NA,9,NA,46,NA,NA,NA,NA,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",280,107,3,4,NA,NA,NA,141,NA,29,5,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,137,NA,NA,NA,12,154,NA,NA,4,13,165,1,74,5,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,28,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",495,175,3,12,NA,3,1,199,3,37,15,8,5,NA,NA,NA,NA,31,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,4,NA,2,NA,NA,29,NA,NA,NA,NA,NA,320,7,79,NA,NA,NA,NA,123,NA,4,NA,40,369,42,12,9,22,953,NA,217,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,384,NA,NA,NA,NA,70,1,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",538,135,4,167,147,NA,NA,176,5,30,11,7,1,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,22,1,NA,31,NA,NA,NA,NA,NA,246,34,28,NA,1,NA,1,483,8,4,1,38,411,443,105,6,41,1025,NA,147,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,651,NA,NA,41,NA,17,434,35,61,NA,NA,28,NA,73,NA,NA,NA,NA,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",667,132,4,110,55,NA,NA,157,6,19,13,7,NA,NA,NA,NA,NA,40,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,18,NA,NA,10,NA,NA,NA,NA,NA,199,8,7,NA,2,NA,NA,147,13,NA,1,12,NA,198,402,4,38,832,NA,103,1,1,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,499,NA,NA,NA,2,12,735,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",472,153,3,188,25,3,NA,182,3,35,9,9,5,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,7,1,NA,5,NA,48,NA,NA,43,NA,NA,NA,NA,NA,232,19,39,NA,NA,NA,NA,906,NA,12,1,70,1124,512,44,3,38,1966,NA,177,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,542,1,NA,68,NA,43,337,12,66,NA,NA,3,NA,88,NA,NA,NA,NA,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",205,124,2,NA,NA,3,NA,132,3,30,NA,4,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,18,37,NA,NA,NA,22,1122,NA,83,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",205,124,2,NA,NA,3,NA,132,3,30,NA,4,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,18,37,NA,NA,NA,22,1122,NA,83,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",349,154,4,48,NA,2,NA,164,3,33,7,8,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,2,NA,NA,21,NA,NA,NA,NA,NA,102,NA,7,NA,NA,NA,NA,330,NA,NA,1,30,528,47,8,3,31,1273,NA,98,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,NA,NA,NA,NA,24,NA,4,36,NA,NA,NA,NA,2,NA,NA,NA,NA,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",39,1,NA,NA,NA,NA,NA,29,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",33,NA,NA,NA,NA,NA,NA,29,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",35,NA,NA,NA,NA,NA,NA,21,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",21,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",211,123,1,5,NA,NA,NA,120,1,41,1,5,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,5,125,NA,NA,NA,11,613,NA,58,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",214,133,NA,2,NA,1,NA,147,2,42,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,15,NA,NA,NA,7,130,5,1,NA,8,288,NA,64,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",391,139,4,52,17,NA,NA,126,3,36,NA,6,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,347,NA,NA,NA,20,179,30,14,1,22,1307,NA,72,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,12,NA,NA,14,NA,NA,NA,NA,24,NA,NA,NA,NA,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",296,104,1,2,NA,3,1,124,NA,42,1,7,2,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,2,13,NA,NA,1,24,921,NA,72,1,NA,15,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",76,2,NA,NA,NA,NA,NA,94,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,4,2,193,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",143,3,1,2,NA,3,NA,119,1,19,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,12,10,NA,NA,3,7,814,NA,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",82,3,NA,NA,NA,NA,NA,86,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,18,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",157,4,3,6,NA,NA,NA,94,NA,7,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,2,2,687,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",291,86,NA,2,NA,3,NA,171,NA,33,11,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,32,NA,1,NA,NA,NA,NA,24,NA,NA,NA,3,NA,NA,NA,10,12,NA,NA,67,NA,2,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",298,60,1,2,NA,NA,NA,166,NA,29,13,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,3,14,NA,NA,12,9,NA,NA,55,NA,1,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",347,115,NA,1,NA,3,NA,177,1,33,8,2,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,56,NA,8,NA,NA,NA,NA,71,NA,NA,NA,18,25,2,NA,8,14,10,NA,86,NA,1,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",243,60,NA,NA,NA,1,NA,165,NA,30,11,2,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,14,8,1,NA,50,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",339,46,NA,NA,NA,NA,7,65,NA,42,NA,5,6,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,NA,NA,NA,1,10,NA,NA,NA,26,1239,NA,56,NA,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",201,34,1,1,NA,1,NA,127,NA,35,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,1,NA,NA,NA,6,5,26,NA,43,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",566,93,NA,9,NA,NA,12,12,3,35,NA,4,1,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,2,21,NA,14,NA,23,1500,NA,58,1,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",534,11,NA,29,NA,3,7,30,NA,31,NA,3,9,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,NA,NA,NA,22,1668,NA,50,11,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",222,99,1,1,NA,1,NA,143,NA,38,8,5,3,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,2,1,NA,NA,9,7,155,NA,55,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",509,21,NA,NA,NA,3,NA,159,NA,30,4,5,10,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,9,NA,NA,NA,NA,79,NA,NA,NA,4,100,NA,NA,NA,13,928,NA,74,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",119,59,NA,1,NA,NA,NA,109,NA,28,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,6,NA,NA,NA,43,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,"MIROC6","ssp245","r3i1p1f1","2041_2060",215,100,NA,NA,NA,NA,NA,128,NA,33,7,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,1,NA,NA,NA,2,16,641,NA,64,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,"MPI-ESM1-2-HR","ssp245","ensembleMean","2041_2060",252,148,3,16,NA,NA,NA,142,1,30,NA,5,3,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,40,NA,2,NA,1,NA,NA,2,NA,NA,NA,7,363,NA,NA,2,26,406,NA,79,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,1,NA,NA,NA,35,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2041_2060",423,151,1,20,NA,NA,6,124,NA,43,6,8,6,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,71,NA,12,NA,2,NA,NA,10,NA,NA,NA,7,373,4,6,9,23,168,1,86,10,1,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
89,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2041_2060",173,75,1,6,NA,NA,NA,140,1,13,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,8,319,NA,NA,8,14,994,NA,63,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,NA,14,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
90,"MRI-ESM2-0","ssp245","ensembleMean","2041_2060",234,1,NA,NA,NA,3,NA,92,NA,15,NA,5,11,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,702,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
91,"MRI-ESM2-0","ssp245","r1i1p1f1","2041_2060",234,1,NA,NA,NA,3,NA,92,NA,15,NA,5,11,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,702,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
