Retire,withsubtaxa,Source,BGC,SS_NoSpace,Special,SpecialCode
,,USA_2019,CWHds_WA,CWHds_WA/102,,
,,USA_2019,CWHds_WA,CWHds_WA/103,,
,,USA_2019,CWHds_WA,CWHds_WA/110,,
,,USA_2019,CWHds_WA,CWHds_WA/111,,
,,USA_2019,CWHds_WA,CWHds_WA/112,,
,,USA_2019,CWHds_WA,CWHds_WA/113,,
,,USA_2019,CWHds_WA,CWHds_WA/Ro,Lithic,
,,BECv10,CWHds1,CWHds1/01,,
,,BECv10,CWHds1,CWHds1/02,,
,,BECv10,CWHds1,CWHds1/03,,
,,BECv10,CWHds1,CWHds1/04,,
,,BECv10,CWHds1,CWHds1/05,,
,,BECv10,CWHds1,CWHds1/06,,
,,BECv10,CWHds1,CWHds1/07,,
,,BECv10,CWHds1,CWHds1/08,High fluvial bench,Fh
,,BECv10,CWHds1,CWHds1/09,Mid fluvial bench,Fm
,,BECv10,CWHds1,CWHds1/10,Low fluvial bench,Fl
,,BECv10,CWHds1,CWHds1/11,,
,,BECv10,CWHds1,CWHds1/12,,
,,BECv10,CWHds2,CWHds2/01,,
,,BECv10,CWHds2,CWHds2/02,,
,,BECv10,CWHds2,CWHds2/03,,
,,BECv10,CWHds2,CWHds2/04,,
,,BECv10,CWHds2,CWHds2/05,,
,,BECv10,CWHds2,CWHds2/06,,
,,BECv10,CWHds2,CWHds2/07,,
,,BECv10,CWHds2,CWHds2/08,High fluvial bench,Fh
,,BECv10,CWHds2,CWHds2/09,Mid fluvial bench,Fm
,,BECv10,CWHds2,CWHds2/10,Low fluvial bench,Fl
,,BECv10,CWHds2,CWHds2/11,,
,,BECv10,CWHds2,CWHds2/12,,
,,USA_2019,CWHmh_OR,CWHmh_OR/101,,
,,USA_2019,CWHmh_OR,CWHmh_OR/102,,
,,USA_2019,CWHmh_OR,CWHmh_OR/103,,
,,USA_2019,CWHmh_OR,CWHmh_OR/110,,
,,USA_2019,CWHmh_OR,CWHmh_OR/111,,
,,USA_2019,CWHmh_OR,CWHmh_OR/112,,
,,USA_2019,CWHmh_OR,CWHmh_OR/113,,
,,USA_2019,CWHmh_OR,CWHmh_OR/Ro,Lithic,
,,BECv10,CWHmm1,CWHmm1/01,,
,,BECv10,CWHmm1,CWHmm1/02,,
,,BECv10,CWHmm1,CWHmm1/03,,
,,BECv10,CWHmm1,CWHmm1/04,,
,,BECv10,CWHmm1,CWHmm1/05,,
,,BECv10,CWHmm1,CWHmm1/06,,
,,BECv10,CWHmm1,CWHmm1/07,,
,,BECv10,CWHmm1,CWHmm1/08,High fluvial bench,Fh
,,BECv10,CWHmm1,CWHmm1/09,Mid fluvial bench,Fm
,,BECv10,CWHmm1,CWHmm1/10,Low fluvial bench,Fl
,,BECv10,CWHmm1,CWHmm1/11,,
,,BECv10,CWHmm1,CWHmm1/12,,
,,BECv10,CWHmm2,CWHmm2/01,,
,,BECv10,CWHmm2,CWHmm2/02,,
,,BECv10,CWHmm2,CWHmm2/03,,
,,BECv10,CWHmm2,CWHmm2/04,,
,,BECv10,CWHmm2,CWHmm2/05,,
,,BECv10,CWHmm2,CWHmm2/06,,
,,BECv10,CWHmm2,CWHmm2/07,,
,,BECv10,CWHmm2,CWHmm2/08,,
,,BECv10,CWHmm2,CWHmm2/09,,
,,BECv10,CWHmm2,CWHmm2/10,,
,,USA_2019,CWHms_OR,CWHms_OR/101,,
,,USA_2019,CWHms_OR,CWHms_OR/102,,
,,USA_2019,CWHms_OR,CWHms_OR/103,,
,,USA_2019,CWHms_OR,CWHms_OR/110,,
,,USA_2019,CWHms_OR,CWHms_OR/111,,
,,USA_2019,CWHms_OR,CWHms_OR/112,,
,,USA_2019,CWHms_OR,CWHms_OR/113,,
,,USA_2019,CWHms_OR,CWHms_OR/Ro,Lithic,
,,USA_2019,CWHms_WA,CWHms_WA/101,,
,,USA_2019,CWHms_WA,CWHms_WA/102,,
,,USA_2019,CWHms_WA,CWHms_WA/103,,
,,USA_2019,CWHms_WA,CWHms_WA/110,,
,,USA_2019,CWHms_WA,CWHms_WA/111,,
,,USA_2019,CWHms_WA,CWHms_WA/112,,
,,USA_2019,CWHms_WA,CWHms_WA/113,,
,,USA_2019,CWHms_WA,CWHms_WA/Ro,Lithic,
,,BECv10,CWHms1,CWHms1/01,,
,,BECv10,CWHms1,CWHms1/02,,
,,BECv10,CWHms1,CWHms1/03,,
,,BECv10,CWHms1,CWHms1/04,,
,,BECv10,CWHms1,CWHms1/05,,
,,BECv10,CWHms1,CWHms1/06,,
,,BECv10,CWHms1,CWHms1/07,High fluvial bench,Fh
,,BECv10,CWHms1,CWHms1/08,Mid fluvial bench,Fm
,,BECv10,CWHms1,CWHms1/09,Low fluvial bench,Fl
,,BECv10,CWHms1,CWHms1/10,,
,,BECv10,CWHms1,CWHms1/11,,
,,BECv10,CWHms2,CWHms2/01,,
,,BECv10,CWHms2,CWHms2/02,,
,,BECv10,CWHms2,CWHms2/03,,
,,BECv10,CWHms2,CWHms2/04,,
,,BECv10,CWHms2,CWHms2/05,,
,,BECv10,CWHms2,CWHms2/06,,
,,BECv10,CWHms2,CWHms2/07,High fluvial bench,Fh
,,BECv10,CWHms2,CWHms2/08,Mid fluvial bench,Fm
,,BECv10,CWHms2,CWHms2/09,Low fluvial bench,Fl
,,BECv10,CWHms2,CWHms2/10,,
,,BECv10,CWHms2,CWHms2/11,,
,,USA_2019,CWHvh_WA,CWHvh_WA/101,,
,,USA_2019,CWHvh_WA,CWHvh_WA/102,,
,,USA_2019,CWHvh_WA,CWHvh_WA/103,,
,,USA_2019,CWHvh_WA,CWHvh_WA/110,,
,,USA_2019,CWHvh_WA,CWHvh_WA/111,,
,,USA_2019,CWHvh_WA,CWHvh_WA/112,,
,,USA_2019,CWHvh_WA,CWHvh_WA/113,,
,,USA_2019,CWHvh_WA,CWHvh_WA/Ro,Lithic,
,,BECv10,CWHvh1,CWHvh1/01,,
,,BECv10,CWHvh1,CWHvh1/02,,
,,BECv10,CWHvh1,CWHvh1/03,,
,,BECv10,CWHvh1,CWHvh1/04,,
,,BECv10,CWHvh1,CWHvh1/05,,
,,BECv10,CWHvh1,CWHvh1/06,,
,,BECv10,CWHvh1,CWHvh1/07,,
,,BECv10,CWHvh1,CWHvh1/08,High fluvial bench,Fh
,,BECv10,CWHvh1,CWHvh1/09,Mid fluvial bench,Fm
,,BECv10,CWHvh1,CWHvh1/10,Low fluvial bench,Fl
,,BECv10,CWHvh1,CWHvh1/11,,
,,BECv10,CWHvh1,CWHvh1/12,,
,,BECv10,CWHvh1,CWHvh1/13,,
,,BECv10,CWHvh1,CWHvh1/14,Salt Spray,SS
,,BECv10,CWHvh1,CWHvh1/15,Salt Spray,SS
,,BECv10,CWHvh1,CWHvh1/16,Salt Spray,SS
,,BECv10,CWHvh1,CWHvh1/17,Salt Spray,SS
,,BECv10,CWHvh1,CWHvh1/18,Salt Spray,SS
,s,BECv10,CWHvh2,CWHvh2/01,,
,p,BECv10,CWHvh2,CWHvh2/01a,,
,p,BECv10,CWHvh2,CWHvh2/01b,,
,p,BECv10,CWHvh2,CWHvh2/01c,,
,,BECv10,CWHvh2,CWHvh2/02,,
,s,BECv10,CWHvh2,CWHvh2/03,,
,p,BECv10,CWHvh2,CWHvh2/03a,,
,p,BECv10,CWHvh2,CWHvh2/03b,,
,s,BECv10,CWHvh2,CWHvh2/04,,
,p,BECv10,CWHvh2,CWHvh2/04a,,
,p,BECv10,CWHvh2,CWHvh2/04b,,
,s,BECv10,CWHvh2,CWHvh2/05,,
,p,BECv10,CWHvh2,CWHvh2/05a,,
,p,BECv10,CWHvh2,CWHvh2/05b,,
,,BECv10,CWHvh2,CWHvh2/06,,
,s,BECv10,CWHvh2,CWHvh2/07,,
,p,BECv10,CWHvh2,CWHvh2/07a,,
,p,BECv10,CWHvh2,CWHvh2/07b,,
,,BECv10,CWHvh2,CWHvh2/08,High fluvial bench,Fh
,,BECv10,CWHvh2,CWHvh2/09,Mid fluvial bench,Fm
,,BECv10,CWHvh2,CWHvh2/10,Low fluvial bench,Fl
,,BECv10,CWHvh2,CWHvh2/11,,
,,BECv10,CWHvh2,CWHvh2/12,,
,s,BECv10,CWHvh2,CWHvh2/13,,
,p,BECv10,CWHvh2,CWHvh2/13a,,
,p,BECv10,CWHvh2,CWHvh2/13b,,
,,BECv10,CWHvh2,CWHvh2/14,Salt Spray,SS
,,BECv10,CWHvh2,CWHvh2/15,Salt Spray,SS
,,BECv10,CWHvh2,CWHvh2/16,Salt Spray,SS
,,BECv10,CWHvh2,CWHvh2/17,Salt Spray,SS
,,BECv10,CWHvh2,CWHvh2/18,Salt Spray,SS
,,BECv10,CWHvh2,CWHvh2/19,Salt Spray,SS
,p,BECv10,CWHvh2,CWHvh3/105a,,
,p,BECv10,CWHvh2,CWHvh3/105b,,
,s,BECv10,CWHvh2,CWHvh3/106,,
,p,BECv10,CWHvh2,CWHvh3/106a,,
,p,BECv10,CWHvh2,CWHvh3/106b,,
,p,BECv10,CWHvh2,CWHvh3/106c,,
,s,BECv10,CWHvh2,CWHvh3/110,,
,p,BECv10,CWHvh2,CWHvh3/110a,,
,p,BECv10,CWHvh2,CWHvh3/110b,High fluvial bench,Fh
,p,BECv10,CWHvh2,CWHvh3/110c,,
,s,BECv10,CWHvh3,CWHvh3/101,,
,p,BECv11,CWHvh3,CWHvh3/101a,,
,p,BECv11,CWHvh3,CWHvh3/101b,,
,p,BECv11,CWHvh3,CWHvh3/101c,,
,,BECv10,CWHvh3,CWHvh3/102,,
,,BECv10,CWHvh3,CWHvh3/103,Salt Spray,SS
,v,BECv11,CWHvh3,CWHvh3/103.1,Salt Spray,SS
,v,BECv11,CWHvh3,CWHvh3/103.2,Salt Spray,SS
,,BECv10,CWHvh3,CWHvh3/104,Salt Spray,SS
,s,BECv10,CWHvh3,CWHvh3/105,,
,,BECv10,CWHvh3,CWHvh3/111,High fluvial bench,Fh
,,BECv10,CWHvh3,CWHvh3/112,Mid fluvial bench,Fm
,,BECv10,CWHvh3,CWHvh3/113,Low fluvial bench,Fl
,,BECv10,CWHvh3,CWHvh3/114,,
,,BECv10,CWHvh3,CWHvh3/115,,
,,BECv10,CWHvh3,CWHvh3/116,Salt Spray,SS
,s,BECv10,CWHvh3,CWHvh3/117,,
,p,BECv11,CWHvh3,CWHvh3/117a,,
,p,BECv11,CWHvh3,CWHvh3/117b,,
,,BECv10,CWHvh3,CWHvh3/Wb53,,
,,USA_2019,CWHvm_OR,CWHvm_OR/101,,
,,USA_2019,CWHvm_OR,CWHvm_OR/102,,
,,USA_2019,CWHvm_OR,CWHvm_OR/103,,
,,USA_2019,CWHvm_OR,CWHvm_OR/110,,
,,USA_2019,CWHvm_OR,CWHvm_OR/111,,
,,USA_2019,CWHvm_OR,CWHvm_OR/112,,
,,USA_2019,CWHvm_OR,CWHvm_OR/113,,
,,USA_2019,CWHvm_OR,CWHvm_OR/Ro,Lithic,
,,USA_2019,CWHvm_WA,CWHvm_WA/101,,
,,USA_2019,CWHvm_WA,CWHvm_WA/102,,
,,USA_2019,CWHvm_WA,CWHvm_WA/103,,
,,USA_2019,CWHvm_WA,CWHvm_WA/110,,
,,USA_2019,CWHvm_WA,CWHvm_WA/111,,
,,USA_2019,CWHvm_WA,CWHvm_WA/112,,
,,USA_2019,CWHvm_WA,CWHvm_WA/113,,
,,USA_2019,CWHvm_WA,CWHvm_WA/Ro,Lithic,
,s,BECv10,CWHvm1,CWHvm1/01,,
,p,BECv10,CWHvm1,CWHvm1/01a,,
,p,BECv10,CWHvm1,CWHvm1/01b,,
,,BECv10,CWHvm1,CWHvm1/02,,
,,BECv10,CWHvm1,CWHvm1/03,,
,,BECv10,CWHvm1,CWHvm1/04,,
,,BECv10,CWHvm1,CWHvm1/05,,
,s,BECv10,CWHvm1,CWHvm1/06,,
,p,BECv10,CWHvm1,CWHvm1/06a,,
,p,BECv10,CWHvm1,CWHvm1/06b,,
,,BECv10,CWHvm1,CWHvm1/07,,
,,BECv10,CWHvm1,CWHvm1/08,,
,,BECv10,CWHvm1,CWHvm1/09,High fluvial bench,Fh
,,BECv10,CWHvm1,CWHvm1/10,Mid fluvial bench,Fm
,,BECv10,CWHvm1,CWHvm1/11,Low fluvial bench,Fl
,,BECv10,CWHvm1,CWHvm1/12,,
,,BECv10,CWHvm1,CWHvm1/13,,
,,BECv10,CWHvm1,CWHvm1/14,,
,s,BECv10,CWHvm2,CWHvm2/01,,
,p,BECv10,CWHvm2,CWHvm2/01a,,
,p,BECv10,CWHvm2,CWHvm2/01b,,
,,BECv10,CWHvm2,CWHvm2/02,,
,,BECv10,CWHvm2,CWHvm2/03,,
,,BECv10,CWHvm2,CWHvm2/04,,
,,BECv10,CWHvm2,CWHvm2/05,,
,,BECv10,CWHvm2,CWHvm2/06,,
,,BECv10,CWHvm2,CWHvm2/07,,
,,BECv10,CWHvm2,CWHvm2/08,,
,,BECv10,CWHvm2,CWHvm2/09,,
,,BECv10,CWHvm2,CWHvm2/10,,
,,BECv10,CWHvm2,CWHvm2/11,,
,,USA_2019,CWHwh_WA,CWHwh_WA/101,,
,,USA_2019,CWHwh_WA,CWHwh_WA/102,,
,,USA_2019,CWHwh_WA,CWHwh_WA/103,,
,,USA_2019,CWHwh_WA,CWHwh_WA/110,,
,,USA_2019,CWHwh_WA,CWHwh_WA/111,,
,,USA_2019,CWHwh_WA,CWHwh_WA/112,,
,,USA_2019,CWHwh_WA,CWHwh_WA/113,,
,,USA_2019,CWHwh_WA,CWHwh_WA/Ro,Lithic,
,s,BECv10,CWHwh1,CWHwh1/101,,
,p,BECv10,CWHwh1,CWHwh1/101a,,
,p,BECv10,CWHwh1,CWHwh1/101b,,
,,BECv10,CWHwh1,CWHwh1/102,,
,,BECv10,CWHwh1,CWHwh1/103,Salt Spray,SS
,,BECv11,CWHwh1,CWHwh1/103.1,Salt Spray,SS
,,BECv11,CWHwh1,CWHwh1/103.2,Salt Spray,SS
,,BECv10,CWHwh1,CWHwh1/104,Salt Spray,SS
,s,BECv10,CWHwh1,CWHwh1/105,,
,p,BECv10,CWHwh1,CWHwh1/105a,,
,p,BECv10,CWHwh1,CWHwh1/105b,,
,s,BECv10,CWHwh1,CWHwh1/110,,
,p,BECv10,CWHwh1,CWHwh1/110a,,
,p,BECv10,CWHwh1,CWHwh1/110b,,
,s,BECv10,CWHwh1,CWHwh1/111,,
,p,BECv10,CWHwh1,CWHwh1/111a,,
,p,BECv10,CWHwh1,CWHwh1/111b,High fluvial bench,Fh
,p,BECv10,CWHwh1,CWHwh1/111c,,
,,BECv10,CWHwh1,CWHwh1/112,High fluvial bench,Fh
,,BECv10,CWHwh1,CWHwh1/113,Mid fluvial bench,Fm
,,BECv10,CWHwh1,CWHwh1/114,Low fluvial bench,Fl
,,BECv10,CWHwh1,CWHwh1/115,,
,,BECv10,CWHwh1,CWHwh1/116,,
,,BECv10,CWHwh1,CWHwh1/117,Salt Spray,SS
,s,BECv10,CWHwh1,CWHwh1/118,,
,p,BECv11,CWHwh1,CWHwh1/118a,,
,p,BECv11,CWHwh1,CWHwh1/118b,,
,,BECv10,CWHwh1,CWHwh1/Wb51,,
,s,BECv10,CWHwh2,CWHwh2/101,,
,p,BECv11,CWHwh2,CWHwh2/101a,,
,p,BECv11,CWHwh2,CWHwh2/101b,,
,p,BECv11,CWHwh2,CWHwh2/101c,,
,,BECv10,CWHwh2,CWHwh2/110,,
,,BECv10,CWHwh2,CWHwh2/111,,
,s,BECv10,CWHwh2,CWHwh2/112,,
,p,BECv11,CWHwh2,CWHwh2/112a,High fluvial bench,Fh
,p,BECv11,CWHwh2,CWHwh2/112b,,
,,BECv11,CWHwh2,CWHwh2/Ro,Lithic,
,s,BECv10,CWHwm,CWHwm/01,,
,p,BECv10,CWHwm,CWHwm/01a,,
,p,BECv10,CWHwm,CWHwm/01b,,
,,BECv10,CWHwm,CWHwm/02,,
,,BECv10,CWHwm,CWHwm/03,,
,,BECv10,CWHwm,CWHwm/04,,
,,BECv10,CWHwm,CWHwm/05,High fluvial bench,Fh
,,BECv10,CWHwm,CWHwm/06,Mid fluvial bench,Fm
,,BECv10,CWHwm,CWHwm/07,Low fluvial bench,Fl
,,BECv10,CWHwm,CWHwm/08,,
,,BECv10,CWHwm,CWHwm/09,,
,,BECv10,CWHwm,CWHwm/10,,
,,BECv10,CWHwm,CWHwm/Ro,Lithic,
,s,BECv10,CWHws1,CWHws1/01,,
,p,BECv10,CWHws1,CWHws1/01a,,
,p,BECv10,CWHws1,CWHws1/01b,,
,,BECv10,CWHws1,CWHws1/02,,
,s,BECv10,CWHws1,CWHws1/03,,
,p,BECv10,CWHws1,CWHws1/03a,,
,p,BECv10,CWHws1,CWHws1/03b,,
,,BECv10,CWHws1,CWHws1/04,,
,,BECv10,CWHws1,CWHws1/05,,
,,BECv10,CWHws1,CWHws1/06,,
,,BECv10,CWHws1,CWHws1/07,High fluvial bench,Fh
,,BECv10,CWHws1,CWHws1/08,Mid fluvial bench,Fm
,,BECv10,CWHws1,CWHws1/09,Low fluvial bench,Fl
,,BECv10,CWHws1,CWHws1/10,Low fluvial bench,Fl
,,BECv10,CWHws1,CWHws1/11,,
,,BECv10,CWHws2,CWHws2/01,,
,,BECv10,CWHws2,CWHws2/02,,
,,BECv10,CWHws2,CWHws2/03,,
,,BECv10,CWHws2,CWHws2/04,,
,,BECv10,CWHws2,CWHws2/05,,
,,BECv10,CWHws2,CWHws2/06,,
,,BECv10,CWHws2,CWHws2/07,High fluvial bench,Fh
,,BECv10,CWHws2,CWHws2/08,Mid fluvial bench,Fm
,,BECv10,CWHws2,CWHws2/09,Low fluvial bench,Fl
,,BECv10,CWHws2,CWHws2/10,,
,,BECv10,CWHws2,CWHws2/11,,
,,USA_2019,CWHxm_OR,CWHxm_OR/101,,
,,USA_2019,CWHxm_OR,CWHxm_OR/102,,
,,USA_2019,CWHxm_OR,CWHxm_OR/103,,
,,USA_2019,CWHxm_OR,CWHxm_OR/110,,
,,USA_2019,CWHxm_OR,CWHxm_OR/111,,
,,USA_2019,CWHxm_OR,CWHxm_OR/112,,
,,USA_2019,CWHxm_OR,CWHxm_OR/113,,
,,USA_2019,CWHxm_OR,CWHxm_OR/Ro,Lithic,
,,USA_2019,CWHxm_WA,CWHxm_WA/101,,
,,USA_2019,CWHxm_WA,CWHxm_WA/102,,
,,USA_2019,CWHxm_WA,CWHxm_WA/103,,
,,USA_2019,CWHxm_WA,CWHxm_WA/110,,
,,USA_2019,CWHxm_WA,CWHxm_WA/111,,
,,USA_2019,CWHxm_WA,CWHxm_WA/112,,
,,USA_2019,CWHxm_WA,CWHxm_WA/113,,
,,USA_2019,CWHxm_WA,CWHxm_WA/Ro,Lithic,
,,BECv10,CWHxm1,CWHxm1/01,,
,,BECv10,CWHxm1,CWHxm1/02,,
,,BECv10,CWHxm1,CWHxm1/03,,
,,BECv10,CWHxm1,CWHxm1/04,,
,,BECv10,CWHxm1,CWHxm1/05,,
,,BECv10,CWHxm1,CWHxm1/06,,
,,BECv10,CWHxm1,CWHxm1/07,,
,,BECv10,CWHxm1,CWHxm1/08,High fluvial bench,Fh
,,BECv10,CWHxm1,CWHxm1/09,Mid fluvial bench,Fm
,,BECv10,CWHxm1,CWHxm1/10,Low fluvial bench,Fl
,,BECv10,CWHxm1,CWHxm1/11,,
,,BECv10,CWHxm1,CWHxm1/12,,
,,BECv10,CWHxm1,CWHxm1/13,Fluctating water table,FWT
,,BECv10,CWHxm1,CWHxm1/14,Fluctating water table,FWT
,,BECv10,CWHxm1,CWHxm1/15,Fluctating water table,FWT
,,BECv10,CWHxm2,CWHxm2/01,,
,,BECv10,CWHxm2,CWHxm2/02,,
,,BECv10,CWHxm2,CWHxm2/03,,
,,BECv10,CWHxm2,CWHxm2/04,,
,,BECv10,CWHxm2,CWHxm2/05,,
,,BECv10,CWHxm2,CWHxm2/06,,
,,BECv10,CWHxm2,CWHxm2/07,,
,,BECv10,CWHxm2,CWHxm2/08,High fluvial bench,Fh
,,BECv10,CWHxm2,CWHxm2/09,Mid fluvial bench,Fm
,,BECv10,CWHxm2,CWHxm2/10,Low fluvial bench,Fl
,,BECv10,CWHxm2,CWHxm2/11,,
,,BECv10,CWHxm2,CWHxm2/12,,
,,BECv10,CWHxm2,CWHxm2/13,Fluctating water table,FWT
,,BECv10,CWHxm2,CWHxm2/14,Fluctating water table,FWT
,,BECv10,CWHxm2,CWHxm2/15,Fluctating water table,FWT
,,AB_2020,ESSFabC,ESSFabC/a,,
,,AB_2020,ESSFabC,ESSFabC/b,,
,,AB_2020,ESSFabC,ESSFabC/c,,
,,AB_2020,ESSFabC,ESSFabC/d,,
,,AB_2020,ESSFabC,ESSFabC/e,,
,,AB_2020,ESSFabC,ESSFabC/f,,
,,AB_2020,ESSFabC,ESSFabC/g,,
,,AB_2020,ESSFabC,ESSFabC/h,,
,,AB_2020,ESSFabC,ESSFabC/i,,
,,AB_2018,ESSFabC,ESSFabC/Ro,Lithic,
,,AB_2020,ESSFabE,ESSFabE/a,,
,,AB_2020,ESSFabE,ESSFabE/b,,
,,AB_2020,ESSFabE,ESSFabE/c,,
,,AB_2020,ESSFabE,ESSFabE/d,,
,,AB_2020,ESSFabE,ESSFabE/e,,
,,AB_2020,ESSFabE,ESSFabE/f,,
,,AB_2020,ESSFabE,ESSFabE/g,,
,,AB_2020,ESSFabE,ESSFabE/h,,
,,AB_2020,ESSFabE,ESSFabE/i,,
,,AB_2018,ESSFabE,ESSFabE/Ro,Lithic,
,,AB_2020,ESSFabN,ESSFabN/a,,
,,AB_2020,ESSFabN,ESSFabN/b,,
,,AB_2020,ESSFabN,ESSFabN/c,,
,,AB_2020,ESSFabN,ESSFabN/d,,
,,AB_2020,ESSFabN,ESSFabN/e,,
,,AB_2020,ESSFabN,ESSFabN/f,,
,,AB_2020,ESSFabN,ESSFabN/g,,
,,AB_2020,ESSFabN,ESSFabN/h,,
,,AB_2020,ESSFabN,ESSFabN/i,,
,,AB_2018,ESSFabN,ESSFabN/Ro,Lithic,
,,AB_2020,ESSFabS,ESSFabS/a,,
,,AB_2020,ESSFabS,ESSFabS/b,,
,,AB_2020,ESSFabS,ESSFabS/c,,
,,AB_2020,ESSFabS,ESSFabS/d,,
,,AB_2020,ESSFabS,ESSFabS/e,,
,,AB_2020,ESSFabS,ESSFabS/f,,
,,AB_2020,ESSFabS,ESSFabS/g,,
,,AB_2020,ESSFabS,ESSFabS/h,,
,,AB_2020,ESSFabS,ESSFabS/i,,
,,AB_2018,ESSFabS,ESSFabS/Ro,Lithic,
,,BECv10,ESSFdc1,ESSFdc1/101,,
,,BECv10,ESSFdc1,ESSFdc1/102,,
,,BECv10,ESSFdc1,ESSFdc1/103,,
,,BECv12,ESSFdc1,ESSFdc1/104,,
,,BECv10,ESSFdc1,ESSFdc1/110,,
,,BECv10,ESSFdc1,ESSFdc1/111,,
,,BECv10,ESSFdc1,ESSFdc1/112,,
,,BECv10,ESSFdc1,ESSFdc1/Ro,Lithic,
,,BECv12,ESSFdc2,ESSFdc2/101,,
,,BECv12,ESSFdc2,ESSFdc2/102,,
,,BECv12,ESSFdc2,ESSFdc2/103,Insolation,IN
,,BECv12,ESSFdc2,ESSFdc2/104,,
,,BECv12,ESSFdc2,ESSFdc2/110,Cold air influence,CA
,,BECv12,ESSFdc2,ESSFdc2/111,,
,,BECv12,ESSFdc2,ESSFdc2/112,,
,,BECv12,ESSFdc2,ESSFdc2/Ro,Lithic,
,,BECv10,ESSFdc3,ESSFdc3/01,,
,,BECv10,ESSFdc3,ESSFdc3/02,,
,,BECv10,ESSFdc3,ESSFdc3/03,,
,,BECv10,ESSFdc3,ESSFdc3/04,,
,,BECv10,ESSFdc3,ESSFdc3/05,,
,,BECv10,ESSFdc3,ESSFdc3/06,,
,,BECv10,ESSFdc3,ESSFdc3/07,,
,,BECv10,ESSFdc3,ESSFdc3/08,,
,,BECv10,ESSFdc3,ESSFdc3/09,,
,,BECv10,ESSFdcp,ESSFdcp/00,,
,,BECv10,ESSFdcw,ESSFdcw/101,,
,,BECv10,ESSFdcw,ESSFdcw/102,,
,,BECv10,ESSFdcw,ESSFdcw/103,,
,,BECv10,ESSFdcw,ESSFdcw/110,,
,,BECv10,ESSFdcw,ESSFdcw/Ro,Lithic,
,,USA_2019,ESSFdh_WA,ESSFdh_WA/101,,
,,USA_2019,ESSFdh_WA,ESSFdh_WA/102,,
,,USA_2019,ESSFdh_WA,ESSFdh_WA/103,,
,,USA_2019,ESSFdh_WA,ESSFdh_WA/110,,
,,USA_2019,ESSFdh_WA,ESSFdh_WA/111,,
,,USA_2019,ESSFdh_WA,ESSFdh_WA/Ro,Lithic,
,,BECv12,ESSFdh1,ESSFdh1/101,,
,,BECv12,ESSFdh1,ESSFdh1/102,,
,,BECv12,ESSFdh1,ESSFdh1/103,,
,,BECv12,ESSFdh1,ESSFdh1/104,Insolation,IN
,,BECv12,ESSFdh1,ESSFdh1/110,,
,,BECv12,ESSFdh1,ESSFdh1/111,,
,,BECv13,ESSFdh2,ESSFdh2/101,,
,,BECv13,ESSFdh2,ESSFdh2/102,,
,,BECv13,ESSFdh2,ESSFdh2/103,,
,,BECv13,ESSFdh2,ESSFdh2/104,,
,,BECv13,ESSFdh2,ESSFdh2/110,,
,,BECv13,ESSFdh2,ESSFdh2/111,,
,,USA_2019,ESSFdk_MT,ESSFdk_MT/101,,
,,USA_2019,ESSFdk_MT,ESSFdk_MT/102,,
,,USA_2019,ESSFdk_MT,ESSFdk_MT/110,,
,,USA_2019,ESSFdk_MT,ESSFdk_MT/111,,
,,USA_2019,ESSFdk_MT,ESSFdk_MT/Ro,Lithic,
,,BECv11,ESSFdk1,ESSFdk1/101,,
,,BECv11,ESSFdk1,ESSFdk1/102,,
,,BECv11,ESSFdk1,ESSFdk1/103,Insolation,IN
,,BECv11,ESSFdk1,ESSFdk1/104,,
,,BECv11,ESSFdk1,ESSFdk1/110,,
,s,BECv11,ESSFdk1,ESSFdk1/111,,
,p,BECv11,ESSFdk1,ESSFdk1/111a,High fluvial bench,Fh
,p,BECv11,ESSFdk1,ESSFdk1/111b,,
,,BECv11,ESSFdk1,ESSFdk1/Ro,Lithic,
,,BECv11,ESSFdk2,ESSFdk2/101,,
,,BECv11,ESSFdk2,ESSFdk2/102,,
,,BECv11,ESSFdk2,ESSFdk2/103,Insolation,IN
,,BECv11,ESSFdk2,ESSFdk2/104,,
,,BECv11,ESSFdk2,ESSFdk2/110,,
,,BECv11,ESSFdk2,ESSFdk2/111,,
,s,BECv11,ESSFdk2,ESSFdk2/112,,
,p,BECv11,ESSFdk2,ESSFdk2/112a,High fluvial bench,Fh
,p,BECv11,ESSFdk2,ESSFdk2/112b,,
,,BECv11,ESSFdk2,ESSFdk2/Ro,Lithic,
,,BECv10,ESSFdkp,ESSFdkp/00,,
,,USA_2019,ESSFdkp_MT,ESSFdkp_MT/00,,
,,USA_2019,ESSFdkp_MT,ESSFdkp_MT/Ro,Lithic,
,,BECv11,ESSFdkw,ESSFdkw/101,,
,,BECv11,ESSFdkw,ESSFdkw/102,,
,,BECv11,ESSFdkw,ESSFdkw/103,,
,,BECv11,ESSFdkw,ESSFdkw/110,,
,,BECv11,ESSFdkw,ESSFdkw/Ro,Lithic,
,,USA_2019,ESSFdm_ID,ESSFdm_ID/101,,
,,USA_2019,ESSFdm_ID,ESSFdm_ID/102,,
,,USA_2019,ESSFdm_ID,ESSFdm_ID/103,,
,,USA_2019,ESSFdm_ID,ESSFdm_ID/110,,
,,USA_2019,ESSFdm_ID,ESSFdm_ID/111,,
,,USA_2019,ESSFdm_ID,ESSFdm_ID/Ro,Lithic,
,,USA_2019,ESSFdmp_ID,ESSFdmp_ID/00,,
