"index","GCM","SSP","RUN","PERIOD","CMAun_WA","CMAunp","CWHdm","CWHmm1","CWHmm2","CWHms1","CWHvm1","CWHvm2","CWHxm1","CWHxm2","MHmm1","MHmm2","CWHds1","MHmm_WA","CWHdm_WA","CWHvm_WA","CWHws2","CWHms2","CWHwh1","CWHmh_OR","CWHxm_WA","CWHdm_OR","CWHvh_WA","CWHds2","CWHwh_WA","CWHvm_OR","CMXwm_OR","CRFdh_CA"
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",NA,21,9636,519,2033,60,3654,4221,66,6858,1226,1,4952,81,916,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",NA,30,10291,1749,1830,555,1283,4238,NA,4523,1186,22,6409,144,1584,247,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",NA,10,6969,429,995,135,4588,4628,763,6550,920,2,6115,NA,NA,NA,NA,2172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",NA,2,17233,100,840,28,3591,3034,53,3784,268,NA,4696,NA,7,9,NA,294,NA,336,NA,NA,1,NA,NA,NA,NA,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",NA,4,14945,229,1488,77,2685,3753,217,4548,522,NA,5244,5,472,7,NA,12,NA,68,NA,NA,NA,NA,NA,NA,NA,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,NA,17486,30,663,1,4637,2839,8,3721,243,NA,2747,NA,379,23,NA,388,NA,1073,NA,NA,27,NA,11,NA,NA,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",NA,2,15061,99,663,105,3017,3053,85,2849,288,NA,6227,NA,NA,NA,NA,2655,NA,171,NA,NA,1,NA,NA,NA,NA,NA
75,"GFDL-ESM4","ssp245","ensembleMean","2041_2060",3,1,3999,246,2399,NA,3952,1789,719,9087,555,NA,132,120,9003,478,NA,NA,NA,1634,NA,NA,54,NA,105,NA,NA,NA
76,"GFDL-ESM4","ssp245","r1i1p1f1","2041_2060",NA,3,4016,56,1253,NA,5159,2042,476,5994,419,NA,67,113,9558,1070,NA,NA,NA,3162,NA,NA,474,NA,414,NA,NA,NA
77,"GFDL-ESM4","ssp245","r2i1p1f1","2041_2060",5,2,4473,363,3027,NA,3123,1539,1200,10436,710,NA,621,127,7465,560,NA,NA,NA,623,NA,NA,1,NA,1,NA,NA,NA
78,"GFDL-ESM4","ssp245","r3i1p1f1","2041_2060",3,NA,2881,325,2939,NA,3065,1388,585,10407,545,NA,61,95,9663,230,NA,NA,NA,1914,NA,NA,69,NA,106,NA,NA,NA
79,"GISS-E2-1-G","ssp245","ensembleMean","2041_2060",NA,8,9489,48,305,28,3806,4284,1,5677,575,NA,6845,35,NA,8,NA,3097,NA,70,NA,NA,NA,NA,NA,NA,NA,NA
80,"GISS-E2-1-G","ssp245","r1i1p3f1","2041_2060",NA,3,15825,1,302,9,5636,4402,1,3753,528,NA,2687,NA,NA,NA,NA,816,1,280,NA,NA,32,NA,NA,NA,NA,NA
81,"GISS-E2-1-G","ssp245","r2i1p3f1","2041_2060",4,6,3302,406,1966,173,1820,2042,16,8423,640,NA,12455,44,358,274,79,2268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,"GISS-E2-1-G","ssp245","r3i1p3f1","2041_2060",NA,6,9828,3,164,50,2935,3920,NA,3506,557,1,7680,43,NA,11,NA,5572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,"MIROC6","ssp245","ensembleMean","2041_2060",NA,6,6419,136,2683,NA,4627,2443,936,9152,790,NA,1038,75,5230,129,NA,NA,NA,599,NA,NA,3,NA,10,NA,NA,NA
84,"MIROC6","ssp245","r1i1p1f1","2041_2060",NA,4,12665,2,553,NA,7506,4933,543,4919,872,NA,1585,NA,49,NA,NA,397,19,198,NA,NA,31,NA,NA,NA,NA,NA
85,"MIROC6","ssp245","r2i1p1f1","2041_2060",32,NA,436,295,2604,NA,807,440,320,8254,294,NA,NA,381,14657,3532,NA,NA,NA,1827,254,NA,42,NA,101,NA,NA,NA
