"index","GCM","SSP","RUN","PERIOD","CMAun_WA","CMAunp","CWHdm_WA","CWHmm1","CWHmm2","CWHvh1","CWHvm_WA","CWHvm1","CWHvm2","CWHwh_WA","CWHxm2","MHmm_WA","MHmm1","MHwh1","MHwhp","CWHvh_WA","CWHdm_OR","CWHmh_OR","CWHvm_OR","CWHvh2","CMXwm_OR","CWHxm_WA","CWHdm","CRFdh_CA","CWHvh3"
134,"EC-Earth3","ssp245","r4i1p1f1","2081_2100",NA,NA,25148,98,NA,NA,7955,1611,224,3056,348,5,NA,NA,NA,229,42,NA,NA,NA,26022,NA,NA,NA,NA
135,"GFDL-ESM4","ssp245","ensembleMean","2081_2100",NA,NA,17874,75,NA,NA,4570,15485,561,6778,1614,6,NA,NA,NA,1155,56,2,NA,37,16525,NA,NA,NA,NA
136,"GFDL-ESM4","ssp245","r1i1p1f1","2081_2100",NA,NA,9076,9,NA,NA,1426,24690,525,7220,1563,NA,NA,NA,NA,2399,8,NA,NA,62,17760,NA,NA,NA,NA
137,"GFDL-ESM4","ssp245","r2i1p1f1","2081_2100",NA,NA,20581,209,NA,NA,9755,1760,382,12222,1396,93,NA,NA,NA,1511,77,55,NA,NA,16697,NA,NA,NA,NA
138,"GFDL-ESM4","ssp245","r3i1p1f1","2081_2100",NA,NA,16583,66,NA,NA,3879,22355,559,3327,1355,NA,NA,NA,NA,740,58,NA,NA,147,15669,NA,NA,NA,NA
139,"GISS-E2-1-G","ssp245","ensembleMean","2081_2100",NA,NA,12147,251,NA,NA,2194,31050,741,4033,2035,NA,NA,NA,NA,652,29,NA,NA,119,11487,NA,NA,NA,NA
140,"GISS-E2-1-G","ssp245","r1i1p3f1","2081_2100",NA,NA,15398,122,NA,NA,2432,24746,367,1875,988,1,NA,NA,NA,341,21,NA,NA,109,18338,NA,NA,NA,NA
141,"GISS-E2-1-G","ssp245","r2i1p3f1","2081_2100",NA,NA,2163,35,NA,479,106,46612,1108,4513,2456,NA,NA,NA,NA,1696,4,NA,NA,194,5372,NA,NA,NA,NA
142,"GISS-E2-1-G","ssp245","r3i1p3f1","2081_2100",NA,NA,12210,327,NA,NA,2149,31775,778,3021,2119,NA,2,NA,NA,749,8,NA,NA,90,11510,NA,NA,NA,NA
143,"MIROC6","ssp245","ensembleMean","2081_2100",NA,NA,13968,515,NA,NA,6473,2298,226,15635,2245,108,NA,NA,NA,1199,8,409,NA,NA,21654,NA,NA,NA,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",NA,NA,22612,743,NA,NA,6333,46,45,9509,264,24,NA,NA,NA,NA,84,903,260,NA,23915,NA,NA,NA,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",NA,NA,5684,76,NA,NA,1745,14971,629,15701,2202,4,NA,NA,NA,3729,7,NA,NA,NA,19990,NA,NA,NA,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",NA,NA,12823,557,NA,NA,6436,512,95,17840,1553,104,NA,NA,NA,226,96,2328,13,NA,22155,NA,NA,NA,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",NA,NA,18301,774,263,NA,8126,7616,708,12084,3350,126,NA,NA,NA,4021,750,311,NA,NA,8308,NA,NA,NA,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",NA,NA,19397,1863,500,NA,6802,5987,597,13122,5456,254,NA,NA,NA,3571,1167,1269,NA,NA,4753,NA,NA,NA,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",NA,NA,15688,209,88,NA,8444,10459,736,10430,2497,76,1,NA,NA,4120,558,68,NA,NA,11364,NA,NA,NA,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",NA,NA,28963,148,NA,NA,8924,3416,474,2438,1476,3,NA,NA,NA,55,13,NA,NA,NA,18828,NA,NA,NA,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",NA,NA,28963,148,NA,NA,8924,3416,474,2438,1476,3,NA,NA,NA,55,13,NA,NA,NA,18828,NA,NA,NA,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",NA,NA,22115,143,NA,NA,5816,6144,366,6188,2235,19,NA,NA,NA,794,1,NA,NA,NA,20917,NA,NA,NA,NA
