"index","GCM","SSP","RUN","PERIOD","CDFmm","CDFmm_WA","CMAun","CMAun_WA","CMAunp","CWHdm","CWHdm_WA","CWHds1","CWHmh_OR","CWHmm1","CWHmm2","CWHms1","CWHms2","CWHvh_WA","CWHvh2","CWHvm_WA","CWHvm1","CWHvm2","CWHws2","CWHxm_WA","CWHxm1","CWHxm2","ESSFmw1","ESSFmwp","ESSFmww","MHmm_WA","MHmm1","MHmm2","MHmmp"
53,"MIROC6","ssp245","ensembleMean","2021_2040",66,NA,NA,50,1021,6917,211,157,80,1,563,282,NA,1,NA,21,4760,981,NA,39,953,3047,NA,NA,NA,2,726,19,NA
54,"MIROC6","ssp245","r1i1p1f1","2021_2040",711,8,7,NA,908,13427,506,239,80,NA,565,396,1,9,NA,NA,5528,1486,1,231,3433,3111,NA,NA,NA,NA,920,25,NA
55,"MIROC6","ssp245","r2i1p1f1","2021_2040",15,NA,NA,54,772,1548,114,9,80,NA,278,109,NA,NA,NA,5,3029,284,NA,27,380,2004,NA,NA,NA,1,231,7,NA
56,"MIROC6","ssp245","r3i1p1f1","2021_2040",12,NA,NA,75,1150,5991,155,101,80,1,582,187,NA,NA,NA,39,4488,1087,NA,NA,560,2065,NA,NA,NA,3,778,22,NA
57,"MPI-ESM1-2-HR","ssp245","ensembleMean","2021_2040",237,NA,NA,94,1290,10703,401,314,80,8,832,608,NA,NA,NA,51,4273,2851,NA,233,1494,2389,NA,NA,NA,3,1355,82,NA
58,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2021_2040",1449,8,NA,53,1175,12567,533,350,80,37,1235,773,NA,NA,NA,29,4365,3181,NA,218,2772,3376,NA,NA,NA,2,1553,89,NA
59,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2021_2040",31,NA,NA,89,1217,6633,365,148,80,NA,371,377,NA,NA,NA,47,3613,1854,NA,232,492,408,NA,NA,NA,4,985,55,NA
60,"MRI-ESM2-0","ssp245","ensembleMean","2021_2040",17,NA,NA,50,660,2820,127,29,80,NA,361,96,NA,NA,NA,23,3319,385,NA,6,422,1550,NA,NA,NA,NA,136,2,NA
61,"MRI-ESM2-0","ssp245","r1i1p1f1","2021_2040",17,NA,NA,50,660,2820,127,29,80,NA,361,96,NA,NA,NA,23,3319,385,NA,6,422,1550,NA,NA,NA,NA,136,2,NA
62,"ensembleMean","ssp245","ensembleMean","2021_2040",88,NA,NA,43,957,8393,256,196,80,1,532,328,NA,NA,NA,38,4290,1070,NA,90,1086,2921,NA,NA,NA,2,543,13,NA
63,"ACCESS-ESM1-5","ssp245","ensembleMean","2041_2060",NA,NA,NA,1,22,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,141,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA
64,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2041_2060",NA,NA,NA,NA,15,859,NA,227,2,NA,NA,NA,NA,NA,NA,NA,1195,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA
65,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2041_2060",NA,NA,NA,1,12,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,"CNRM-ESM2-1","ssp245","ensembleMean","2041_2060",29,NA,NA,10,670,8377,264,63,80,NA,274,131,NA,1,NA,31,4542,616,NA,81,805,2629,NA,NA,NA,NA,258,1,NA
68,"CNRM-ESM2-1","ssp245","r1i1p1f2","2041_2060",40,NA,NA,30,858,6837,259,16,80,NA,573,41,NA,NA,NA,35,3960,1103,NA,5,980,3035,NA,NA,NA,2,547,4,NA
69,"CNRM-ESM2-1","ssp245","r2i1p1f2","2041_2060",59,NA,NA,33,854,11204,483,235,80,1,422,398,NA,6,NA,61,5224,2019,NA,233,647,2051,NA,NA,NA,1,677,15,NA
70,"CNRM-ESM2-1","ssp245","r3i1p1f2","2041_2060",70,NA,NA,3,635,10834,378,105,80,NA,241,165,NA,6,NA,22,4992,656,NA,240,1482,2438,NA,NA,NA,NA,304,2,NA
71,"EC-Earth3","ssp245","ensembleMean","2041_2060",1,NA,NA,NA,335,5300,46,25,77,NA,33,1,NA,NA,NA,4,3725,60,NA,NA,245,1704,NA,NA,NA,NA,10,NA,NA
72,"EC-Earth3","ssp245","r15i1p1f1","2041_2060",12,NA,NA,4,531,6887,112,15,80,NA,197,34,NA,NA,NA,20,4076,278,NA,NA,511,2227,NA,NA,NA,NA,96,1,NA
73,"EC-Earth3","ssp245","r1i1p1f1","2041_2060",NA,NA,NA,NA,295,3393,17,26,77,NA,31,NA,NA,NA,NA,5,3643,69,NA,NA,59,1436,NA,NA,NA,NA,11,NA,NA
74,"EC-Earth3","ssp245","r4i1p1f1","2041_2060",6,NA,NA,3,332,7219,80,167,77,NA,25,17,NA,1,NA,2,4060,49,NA,NA,607,1799,NA,NA,NA,NA,10,NA,NA
