"Region","ZoneSubzone","SiteSeries","SiteSeriesName","Standard","StockingTarget","StockingMINpa","StockingMINp","StockingDelay","AssessmentEarliest","AssessmentLatest","Flag","Comment"
"Kamloops LMH23- Updated (2021)","SBSmm","09",,"1066164",1000,500,400,4,,20,0,
"LMH26-Pr Rupert","CWHwm","32","Non-forested fen/marsh","999",,,,,,,0,
"LMH26-Pr Rupert","CWHwm","51","Avalanche track","999",,,,,,,0,
"LMH26-Pr Rupert","CWHws1","01","HwBa - Bramble","85067",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHws1","02*","Pl - Kinnikinnick","85068",600,400,400,6,11,14,0,
"LMH26-Pr Rupert","CWHws1","03","HwPl - Feathermoss","85069",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHws1","04","BaCw - Oak fern","85070",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHws1","05","HwBa - Queen's cup","85071",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHws1","06","BaCw - Devil's club","85072",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHws1","07","Ss - Salmonberry","85073",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHws1","08","Act - Red-osier dogwood","85074",900,500,400,3,8,11,0,
"LMH26-Pr Rupert","CWHws1","09*","Act - Willow","999",,,,,,,0,
"LMH26-Pr Rupert","CWHws1","10*","Pl - Sphagnum","85075",400,200,200,3,8,11,0,
"LMH26-Pr Rupert","CWHws1","11","CwSs - Skunk cabbage","85076",800,400,400,3,8,11,0,
"LMH26-Pr Rupert","CWHws1","31","Non-forested bog","999",,,,,,,0,
"LMH26-Pr Rupert","CWHws1","32","Non-forested fen/marsh","999",,,,,,,0,
"LMH26-Pr Rupert","CWHws2","01","HwBa - Bramble","85077",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHws2","02*","Pl - Kinnikinnick","85078",600,400,400,6,11,14,0,
"LMH26-Pr Rupert","CWHws2","03","HwPl - Feathermoss","85079",900,500,400,6,11,14,0,
"LMH26-Pr Rupert","CWHws2","04","BaCw - Oak fern","85080",900,500,400,3,8,11,0,
