Region,ZoneSubzone,SS_NoSpace,Species,Suitability,PreferredAcceptable,Standard,FN1,FN2,FN3,FN4,FN5
Cariboo,ICHwk4,ICHwk4/04,Hw,2,A,80083,32,,,,
Cariboo,ICHwk4,ICHwk4/05,At,3,X,80084,901,,,,
Cariboo,ICHwk4,ICHwk4/05,Ep,3,X,80084,901,,,,
Cariboo,ICHwk4,ICHwk4/05,Fd,1,P,80084,,,,,
Cariboo,ICHwk4,ICHwk4/05,Pl,1,P,80084,,,,,
Cariboo,ICHwk4,ICHwk4/05,Hw,2,A,80084,37,,,,
Cariboo,ICHwk4,ICHwk4/05,Bl,3,X,80084,28,,,,
Cariboo,ICHwk4,ICHwk4/05,Cw,3,X,80084,28,37,,,
Cariboo,ICHwk4,ICHwk4/05,Sx,3,X,80084,28,,,,
Cariboo,ICHwk4,ICHwk4/06,Act,3,X,80085,901,,,,
Cariboo,ICHwk4,ICHwk4/06,Sx,1,P,80085,32,,,,
Cariboo,ICHwk4,ICHwk4/06,Bl,2,A,80085,32,,,,
Cariboo,ICHwk4,ICHwk4/06,Pl,2,P,80085,,,,,
Cariboo,ICHwk4,ICHwk4/06,Hw,3,X,80085,32,37,53,,
Cariboo,ICHwk4,ICHwk4/07,Act,3,X,80086,901,,,,
Cariboo,ICHwk4,ICHwk4/07,At,3,X,80086,901,,,,
Cariboo,ICHwk4,ICHwk4/07,Ep,3,X,80086,901,,,,
Cariboo,ICHwk4,ICHwk4/07,Fd,1,P,80086,1,32,,,
Cariboo,ICHwk4,ICHwk4/07,Sx,1,P,80086,,,,,
Cariboo,ICHwk4,ICHwk4/07,Bl,2,A,80086,,,,,
Cariboo,ICHwk4,ICHwk4/07,Cw,2,P,80086,32,37,,,
Cariboo,ICHwk4,ICHwk4/07,Hw,2,A,80086,32,37,,,
Cariboo,ICHwk4,ICHwk4/07,Pl,2,A,80086,,,,,
Cariboo,ICHwk4,ICHwk4/08,Act,3,X,80087,901,,,,
Cariboo,ICHwk4,ICHwk4/08,Sx,1,P,80087,1,32,,,
Cariboo,ICHwk4,ICHwk4/08,Bl,2,A,80087,1,32,,,
Cariboo,ICHwk4,ICHwk4/08,Cw,2,P,80087,1,32,37,,
Cariboo,ICHwk4,ICHwk4/08,Pl,2,A,80087,1,,,,
Cariboo,IDFdk1,IDFdk1/01,At,3,X,80088,901,,,,
Cariboo,IDFdk1,IDFdk1/01,Fd,1,P,80088,32,,,,
Cariboo,IDFdk1,IDFdk1/01,Pl,1,P,80088,,,,,
Cariboo,IDFdk1,IDFdk1/01,Sx,3,A,80088,10,13,,,
Cariboo,IDFdk1,IDFdk1/01,Lw,3,,80088,,,,,
Cariboo,IDFdk1,IDFdk1/02,At,3,X,80089,901,,,,
Cariboo,IDFdk1,IDFdk1/02,Fd,1,P,80089,27,,,,
Cariboo,IDFdk1,IDFdk1/03,At,3,X,80090,901,,,,
Cariboo,IDFdk1,IDFdk1/03,Fd,1,P,80090,,,,,
Cariboo,IDFdk1,IDFdk1/03,Pl,1,P,80090,,,,,
Cariboo,IDFdk1,IDFdk1/04,At,3,X,80091,901,,,,
Cariboo,IDFdk1,IDFdk1/04,Fd,1,P,80091,,,,,
Cariboo,IDFdk1,IDFdk1/04,Pl,1,P,80091,,,,,
Cariboo,IDFdk1,IDFdk1/04,Sx,3,A,80091,10,13,,,
Cariboo,IDFdk1,IDFdk1/05,Act,3,X,80092,901,,,,
Cariboo,IDFdk1,IDFdk1/05,At,3,X,80092,901,,,,
Cariboo,IDFdk1,IDFdk1/05,Ep,3,X,80092,901,,,,
Cariboo,IDFdk1,IDFdk1/05,Fd,1,P,80092,9,14,32,,
Cariboo,IDFdk1,IDFdk1/05,Sx,1,P,80092,,,,,
Cariboo,IDFdk1,IDFdk1/05,Pl,2,A,80092,,,,,
Cariboo,IDFdk1,IDFdk1/05,Bl,3,X,80092,10,13,,,
Cariboo,IDFdk1,IDFdk1/05,Lw,3,,80092,,,,,
Cariboo,IDFdk1,IDFdk1/06,Act,3,X,80093,901,,,,
Cariboo,IDFdk1,IDFdk1/06,At,3,X,80093,901,,,,
Cariboo,IDFdk1,IDFdk1/06,Ep,3,X,80093,901,,,,
Cariboo,IDFdk1,IDFdk1/06,Pl,1,P,80093,1,,,,
Cariboo,IDFdk1,IDFdk1/06,Sx,1,P,80093,1,,,,
Cariboo,IDFdk1,IDFdk1/06,Fd,2,P,80093,1,32,,,
Cariboo,IDFdk1,IDFdk1/06,Bl,3,X,80093,1,,,,
Cariboo,IDFdk3,IDFdk3/01,At,3,X,80094,901,,,,
Cariboo,IDFdk3,IDFdk3/01,Fd,1,P,80094,27,32,,,
Cariboo,IDFdk3,IDFdk3/01,Pl,1,P,80094,,,,,
Cariboo,IDFdk3,IDFdk3/01,Sx,3,A,80094,13,28,,,
Cariboo,IDFdk3,IDFdk3/01,Lw,3,,80094,,,,,
Cariboo,IDFdk3,IDFdk3/02,Fd,1,P,80095,27,28,,,
Cariboo,IDFdk3,IDFdk3/02,Pl,1,P,80095,,,,,
Cariboo,IDFdk3,IDFdk3/03,Fd,1,P,80096,27,28,,,
Cariboo,IDFdk3,IDFdk3/03,Pl,1,P,80096,28,,,,
Cariboo,IDFdk3,IDFdk3/04,At,3,X,80097,901,,,,
Cariboo,IDFdk3,IDFdk3/04,Fd,1,P,80097,27,28,,,
Cariboo,IDFdk3,IDFdk3/04,Pl,1,P,80097,28,,,,
Cariboo,IDFdk3,IDFdk3/05,At,3,X,80098,901,,,,
Cariboo,IDFdk3,IDFdk3/05,Fd,1,P,80098,27,,,,
Cariboo,IDFdk3,IDFdk3/05,Pl,1,P,80098,,,,,
Cariboo,IDFdk3,IDFdk3/06,At,3,X,80099,901,,,,
Cariboo,IDFdk3,IDFdk3/06,Fd,1,P,80099,27,28,,,
Cariboo,IDFdk3,IDFdk3/06,Pl,1,P,80099,,,,,
Cariboo,IDFdk3,IDFdk3/06,Lw,3,,80099,,,,,
Cariboo,IDFdk3,IDFdk3/07,At,3,X,80100,901,,,,
Cariboo,IDFdk3,IDFdk3/07,Ep,3,X,80100,901,,,,
Cariboo,IDFdk3,IDFdk3/07,Fd,1,P,80100,32,,,,
Cariboo,IDFdk3,IDFdk3/07,Pl,1,P,80100,,,,,
Cariboo,IDFdk3,IDFdk3/07,Sx,1,P,80100,28,,,,
Cariboo,IDFdk3,IDFdk3/07,Lw,3,,80100,,,,,
Cariboo,IDFdk3,IDFdk3/08,Act,3,X,80101,901,,,,
Cariboo,IDFdk3,IDFdk3/08,At,3,X,80101,901,,,,
Cariboo,IDFdk3,IDFdk3/08,Ep,3,X,80101,901,,,,
Cariboo,IDFdk3,IDFdk3/08,Fd,1,P,80101,1,32,,,
Cariboo,IDFdk3,IDFdk3/08,Pl,1,P,80101,,,,,
Cariboo,IDFdk3,IDFdk3/08,Sx,1,P,80101,,,,,
Cariboo,IDFdk3,IDFdk3/09,Act,3,X,80102,901,,,,
Cariboo,IDFdk3,IDFdk3/09,Sx,1,P,80102,1,32,,,
Cariboo,IDFdk3,IDFdk3/09,Pl,2,A,80102,1,,,,
Cariboo,IDFdk4,IDFdk4/01,At,3,X,80103,901,,,,
Cariboo,IDFdk4,IDFdk4/01,Fd,1,P,80103,27,32,,,
Cariboo,IDFdk4,IDFdk4/01,Pl,1,P,80103,,,,,
Cariboo,IDFdk4,IDFdk4/01,Sx,3,A,80103,13,28,,,
Cariboo,IDFdk4,IDFdk4/01,Lw,3,,80103,,,,,
Cariboo,IDFdk4,IDFdk4/02,Fd,1,P,80104,27,28,,,
Cariboo,IDFdk4,IDFdk4/02,Pl,1,P,80104,28,,,,
Cariboo,IDFdk4,IDFdk4/03,Fd,1,P,80105,27,28,,,
Cariboo,IDFdk4,IDFdk4/04,At,3,X,80106,901,,,,
Cariboo,IDFdk4,IDFdk4/04,Fd,1,P,80106,27,28,,,
Cariboo,IDFdk4,IDFdk4/04,Pl,1,P,80106,28,,,,
Cariboo,IDFdk4,IDFdk4/05,At,3,X,80107,901,,,,
Cariboo,IDFdk4,IDFdk4/05,Fd,1,P,80107,27,28,,,
Cariboo,IDFdk4,IDFdk4/05,Pl,1,P,80107,,,,,
Cariboo,IDFdk4,IDFdk4/06,At,3,X,80108,901,,,,
Cariboo,IDFdk4,IDFdk4/06,Pl,1,P,80108,,,,,
Cariboo,IDFdk4,IDFdk4/06,Sx,3,A,80108,28,32,,,
Cariboo,IDFdk4,IDFdk4/07,At,3,X,80109,901,,,,
Cariboo,IDFdk4,IDFdk4/07,Fd,1,P,80109,27,,,,
Cariboo,IDFdk4,IDFdk4/07,Pl,1,P,80109,,,,,
Cariboo,IDFdk4,IDFdk4/07,Lw,3,,80109,,,,,
Cariboo,IDFdk4,IDFdk4/08,At,3,X,80110,901,,,,
Cariboo,IDFdk4,IDFdk4/08,Pl,1,P,80110,,,,,
Cariboo,IDFdk4,IDFdk4/08,Sx,1,P,80110,32,,,,
Cariboo,IDFdk4,IDFdk4/09,Act,3,X,80111,901,,,,
Cariboo,IDFdk4,IDFdk4/09,At,3,X,80111,901,,,,
Cariboo,IDFdk4,IDFdk4/09,Fd,1,P,80111,1,32,,,
Cariboo,IDFdk4,IDFdk4/09,Pl,1,P,80111,,,,,
Cariboo,IDFdk4,IDFdk4/09,Sx,1,P,80111,,,,,
Cariboo,IDFdk4,IDFdk4/10,Act,3,X,80112,901,,,,
Cariboo,IDFdk4,IDFdk4/10,At,3,X,80112,901,,,,
Cariboo,IDFdk4,IDFdk4/10,Sx,1,P,80112,1,32,,,
Cariboo,IDFdk4,IDFdk4/10,Pl,2,A,80112,1,,,,
Cariboo,IDFmw2,IDFmw2/01,At,3,X,80113,901,,,,
Cariboo,IDFmw2,IDFmw2/01,Ep,3,X,80113,901,,,,
Cariboo,IDFmw2,IDFmw2/01,Fd,1,P,80113,,,,,
Cariboo,IDFmw2,IDFmw2/01,Pl,1,P,80113,,,,,
Cariboo,IDFmw2,IDFmw2/01,Cw,3,A,80113,10,13,,,
Cariboo,IDFmw2,IDFmw2/01,Sx,3,A,80113,10,13,,,
Cariboo,IDFmw2,IDFmw2/01,Lw,3,,80113,,,,,
Cariboo,IDFmw2,IDFmw2/02,At,3,X,80116,901,,,,
Cariboo,IDFmw2,IDFmw2/02,Fd,1,P,80116,27,,,,
Cariboo,IDFmw2,IDFmw2/03,At,3,X,80117,901,,,,
Cariboo,IDFmw2,IDFmw2/03,Ep,3,X,80117,901,,,,
Cariboo,IDFmw2,IDFmw2/03,Fd,1,P,80117,14,,,,
Cariboo,IDFmw2,IDFmw2/03,Pl,1,P,80117,,,,,
Cariboo,IDFmw2,IDFmw2/03,Cw,3,A,80117,10,13,,,
Cariboo,IDFmw2,IDFmw2/03,Sx,3,A,80117,10,13,,,
Cariboo,IDFmw2,IDFmw2/03,Lw,3,,80117,,,,,
Cariboo,IDFmw2,IDFmw2/04,Act,3,X,80118,901,,,,
Cariboo,IDFmw2,IDFmw2/04,At,3,X,80118,901,,,,
Cariboo,IDFmw2,IDFmw2/04,Ep,3,X,80118,901,,,,
Cariboo,IDFmw2,IDFmw2/04,Fd,1,P,80118,32,,,,
Cariboo,IDFmw2,IDFmw2/04,Sx,1,P,80118,,,,,
Cariboo,IDFmw2,IDFmw2/04,Pl,2,A,80118,,,,,
Cariboo,IDFmw2,IDFmw2/04,Bl,3,X,80118,13,,,,
Cariboo,IDFmw2,IDFmw2/04,Cw,3,A,80118,32,37,,,
Cariboo,IDFmw2,IDFmw2/04,Lw,3,,80118,,,,,
Cariboo,IDFmw2,IDFmw2/05,Act,3,X,80119,901,,,,
Cariboo,IDFmw2,IDFmw2/05,At,3,X,80119,901,,,,
Cariboo,IDFmw2,IDFmw2/05,Ep,3,X,80119,901,,,,
Cariboo,IDFmw2,IDFmw2/05,Pl,1,P,80119,1,,,,
Cariboo,IDFmw2,IDFmw2/05,Sx,1,P,80119,1,,,,
Cariboo,IDFmw2,IDFmw2/05,Bl,3,X,80119,1,,,,
Cariboo,IDFmw2,IDFmw2/05,Cw,3,A,80119,1,32,,,
Cariboo,IDFxm,IDFxm/01a,At,3,X,80120,901,,,,
Cariboo,IDFxm,IDFxm/01a,Fd,1,P,80120,27,28,,,
Cariboo,IDFxm,IDFxm/01b,At,3,X,80121,901,,,,
Cariboo,IDFxm,IDFxm/01b,Fd,1,P,80121,27,28,,,
Cariboo,IDFxm,IDFxm/01b,Pl,1,P,80121,,,,,
Cariboo,IDFxm,IDFxm/02,Fd,1,P,80122,27,28,,,
Cariboo,IDFxm,IDFxm/03,Fd,1,P,80123,27,28,,,
Cariboo,IDFxm,IDFxm/03,Pl,1,P,80123,,,,,
Cariboo,IDFxm,IDFxm/04,At,3,X,80124,901,,,,
Cariboo,IDFxm,IDFxm/04,Fd,1,P,80124,27,28,,,
Cariboo,IDFxm,IDFxm/05,At,3,X,80125,901,,,,
Cariboo,IDFxm,IDFxm/05,Fd,1,P,80125,27,,,,
Cariboo,IDFxm,IDFxm/06,At,3,X,80126,901,,,,
Cariboo,IDFxm,IDFxm/06,Fd,1,P,80126,32,,,,
Cariboo,IDFxm,IDFxm/07,At,3,X,80127,901,,,,
Cariboo,IDFxm,IDFxm/07,Ep,3,X,80127,901,,,,
Cariboo,IDFxm,IDFxm/07,Fd,1,P,80127,,,,,
Cariboo,IDFxm,IDFxm/08,Act,3,X,80128,901,,,,
Cariboo,IDFxm,IDFxm/08,At,3,X,80128,901,,,,
Cariboo,IDFxm,IDFxm/08,Fd,1,P,80128,32,,,,
Cariboo,IDFxm,IDFxm/08,Sx,1,P,80128,,,,,
Cariboo,IDFxm,IDFxm/08,Pl,3,A,80128,,,,,
Cariboo,IDFxm,IDFxm/09,Act,3,X,80129,901,,,,
Cariboo,IDFxm,IDFxm/09,At,3,X,80129,901,,,,
Cariboo,IDFxm,IDFxm/09,Pl,1,P,80129,1,,,,
Cariboo,IDFxm,IDFxm/09,Sx,1,P,80129,1,,,,
Cariboo,IDFxw,IDFxw/01,At,3,X,80130,901,,,,
Cariboo,IDFxw,IDFxw/01,Fd,1,P,80130,27,,,,
Cariboo,IDFxw,IDFxw/01,Py,1,P,80130,,,,,
Cariboo,IDFxw,IDFxw/02,Fd,1,P,80131,27,28,,,
Cariboo,IDFxw,IDFxw/02,Py,1,P,80131,28,,,,
Cariboo,IDFxw,IDFxw/03,Fd,1,P,80132,27,28,,,
Cariboo,IDFxw,IDFxw/03,Py,1,P,80132,28,,,,
Cariboo,IDFxw,IDFxw/04,At,3,X,80133,901,,,,
Cariboo,IDFxw,IDFxw/04,Fd,1,P,80133,27,28,,,
Cariboo,IDFxw,IDFxw/04,Py,1,P,80133,28,,,,
Cariboo,IDFxw,IDFxw/05,At,3,X,80134,901,,,,
Cariboo,IDFxw,IDFxw/05,Fd,1,P,80134,27,,,,
Cariboo,IDFxw,IDFxw/06,Act,3,X,80135,901,,,,
Cariboo,IDFxw,IDFxw/06,At,3,X,80135,901,,,,
Cariboo,IDFxw,IDFxw/06,Ep,3,X,80135,901,,,,
Cariboo,IDFxw,IDFxw/06,Fd,1,P,80135,,,,,
Cariboo,IDFxw,IDFxw/06,Sx,1,P,80135,,,,,
Cariboo,IDFxw,IDFxw/07,Act,3,X,80136,901,,,,
Cariboo,IDFxw,IDFxw/07,At,3,X,80136,901,,,,
Cariboo,IDFxw,IDFxw/07,Ep,3,X,80136,901,,,,
Cariboo,IDFxw,IDFxw/07,Fd,1,P,80136,,,,,
Cariboo,IDFxw,IDFxw/07,Sx,1,P,80136,,,,,
Cariboo,MSdc2,MSdc2/01,Pl,1,P,80137,,,,,
Cariboo,MSdc2,MSdc2/01,Sx,1,P,80137,28,,,,
Cariboo,MSdc2,MSdc2/01,Bl,2,A,80137,28,,,,
Cariboo,MSdc2,MSdc2/01,Fd,2,A,80137,32,,,,
Cariboo,MSdc2,MSdc2/01,Pa,3,X,80137,53,,,,
Cariboo,MSdc2,MSdc2/02,Fd,1,P,80138,28,,,,
Cariboo,MSdc2,MSdc2/02,Pl,1,P,80138,,,,,
Cariboo,MSdc2,MSdc2/02,Bl,3,A,80138,28,,,,
Cariboo,MSdc2,MSdc2/02,Pa,3,A,80138,53,,,,
Cariboo,MSdc2,MSdc2/03,Fd,1,P,80139,,,,,
Cariboo,MSdc2,MSdc2/03,Pl,1,P,80139,,,,,
Cariboo,MSdc2,MSdc2/03,Bl,3,A,80139,28,,,,
Cariboo,MSdc2,MSdc2/03,Pa,3,A,80139,53,,,,
Cariboo,MSdc2,MSdc2/04,Pl,1,P,80140,,,,,
Cariboo,MSdc2,MSdc2/04,Bl,2,A,80140,28,,,,
Cariboo,MSdc2,MSdc2/04,Sx,2,P,80140,28,,,,
Cariboo,MSdc2,MSdc2/04,Pa,3,X,80140,53,,,,
Cariboo,MSdc2,MSdc2/05,Pl,1,P,80141,1,,,,
Cariboo,MSdc2,MSdc2/05,Sx,1,P,80141,32,,,,
Cariboo,MSdc2,MSdc2/05,Bl,2,A,80141,32,,,,
Cariboo,MSdc2,MSdc2/06,Bl,1,A,80142,32,,,,
Cariboo,MSdc2,MSdc2/06,Pl,1,P,80142,1,,,,
Cariboo,MSdc2,MSdc2/06,Sx,1,P,80142,32,,,,
Cariboo,MSdc2,MSdc2/07,Bl,1,P,80143,,,,,
Cariboo,MSdc2,MSdc2/07,Sx,1,P,80143,,,,,
Cariboo,MSdc2,MSdc2/07,Pl,2,A,80143,1,,,,
Cariboo,MSdc2,MSdc2/08,Sx,1,P,80144,1,32,,,
Cariboo,MSdc2,MSdc2/08,Bl,2,A,80144,1,32,,,
Cariboo,MSdc2,MSdc2/08,Pl,2,A,80144,1,32,,,
Cariboo,MSdv,MSdv/01,Pl,1,P,80145,,,,,
Cariboo,MSdv,MSdv/01,Sx,1,P,80145,32,,,,
Cariboo,MSdv,MSdv/01,Bl,2,A,80145,32,,,,
Cariboo,MSdv,MSdv/02,Pl,1,P,80146,28,,,,
Cariboo,MSdv,MSdv/03,Pl,1,P,80147,,,,,
Cariboo,MSdv,MSdv/03,Bl,3,A,80147,28,32,,,
Cariboo,MSdv,MSdv/03,Sx,3,A,80147,28,32,,,
Cariboo,MSdv,MSdv/04,Pl,1,P,80148,,,,,
Cariboo,MSdv,MSdv/04,Bl,3,A,80148,28,,,,
Cariboo,MSdv,MSdv/04,Sx,3,A,80148,28,,,,
Cariboo,MSdv,MSdv/05,Pl,1,P,80149,,,,,
Cariboo,MSdv,MSdv/05,Bl,3,A,80149,28,,,,
Cariboo,MSdv,MSdv/05,Sx,3,A,80149,28,,,,
Cariboo,MSdv,MSdv/06,Pl,1,P,80150,,,,,
Cariboo,MSdv,MSdv/06,Sx,1,P,80150,32,,,,
Cariboo,MSdv,MSdv/06,Bl,2,A,80150,32,,,,
Cariboo,MSdv,MSdv/07,Pl,1,P,80151,,,,,
Cariboo,MSdv,MSdv/07,Sx,1,P,80151,32,,,,
Cariboo,MSdv,MSdv/07,Bl,2,A,80151,32,,,,
Cariboo,MSdv,MSdv/08,Sx,1,P,80152,32,,,,
Cariboo,MSdv,MSdv/08,Bl,2,A,80152,32,,,,
Cariboo,MSdv,MSdv/08,Pl,2,P,80152,1,32,,,
Cariboo,MSdv,MSdv/09,Sx,1,P,80153,1,32,,,
Cariboo,MSdv,MSdv/09,Bl,2,A,80153,32,,,,
Cariboo,MSdv,MSdv/09,Pl,2,A,80153,32,,,,
Cariboo,MSxv,MSxv/01,Pl,1,P,80154,,,,,
Cariboo,MSxv,MSxv/01,Sx,1,P,80154,28,32,,,
Cariboo,MSxv,MSxv/01,Bl,3,A,80154,16,28,32,,
Cariboo,MSxv,MSxv/01,Lw,3,,80154,,,,,
Cariboo,MSxv,MSxv/02,Pl,1,P,80155,32,,,,
Cariboo,MSxv,MSxv/03,Pl,1,P,80156,,,,,
Cariboo,MSxv,MSxv/04,Pl,1,P,80157,,,,,
Cariboo,MSxv,MSxv/04,Sx,1,P,80157,32,,,,
Cariboo,MSxv,MSxv/04,Bl,3,A,80157,16,28,32,,
Cariboo,MSxv,MSxv/05,Pl,1,P,80158,,,,,
Cariboo,MSxv,MSxv/05,Sx,1,P,80158,32,,,,
Cariboo,MSxv,MSxv/05,Bl,3,A,80158,32,,,,
Cariboo,MSxv,MSxv/05,Lw,3,,80158,,,,,
Cariboo,MSxv,MSxv/06,Pl,1,P,80159,,,,,
Cariboo,MSxv,MSxv/06,Sx,1,P,80159,32,,,,
Cariboo,MSxv,MSxv/06,Bl,3,A,80159,16,32,,,
Cariboo,MSxv,MSxv/07,Pl,1,P,80160,,,,,
Cariboo,MSxv,MSxv/07,Sx,1,P,80160,32,,,,
Cariboo,MSxv,MSxv/07,Bl,3,A,80160,16,32,,,
Cariboo,MSxv,MSxv/08,Sx,1,P,80161,32,,,,
Cariboo,MSxv,MSxv/08,Pl,2,A,80161,,,,,
Cariboo,MSxv,MSxv/08,Bl,3,A,80161,16,32,,,
Cariboo,MSxv,MSxv/09,Sx,1,P,80162,1,32,,,
Cariboo,MSxv,MSxv/09,Bl,3,A,80162,1,32,,,
Cariboo,MSxv,MSxv/09,Pl,3,A,80162,1,,,,
Cariboo,SBPSdc,SBPSdc/01,At,3,X,80163,901,,,,
Cariboo,SBPSdc,SBPSdc/01,Pl,1,P,80163,,,,,
Cariboo,SBPSdc,SBPSdc/01,Sx,1,P,80163,28,,,,
Cariboo,SBPSdc,SBPSdc/01,Sb,3,A,80163,28,,,,
Cariboo,SBPSdc,SBPSdc/01,Lw,3,,80163,,,,,
Cariboo,SBPSdc,SBPSdc/02,At,3,X,80164,901,,,,
Cariboo,SBPSdc,SBPSdc/02,Pl,1,P,80164,28,,,,
Cariboo,SBPSdc,SBPSdc/03,At,3,X,80165,901,,,,
Cariboo,SBPSdc,SBPSdc/03,Pl,1,P,80165,,,,,
Cariboo,SBPSdc,SBPSdc/03,Sb,3,A,80165,4,15,28,,
Cariboo,SBPSdc,SBPSdc/03,Sx,3,A,80165,4,28,,,
Cariboo,SBPSdc,SBPSdc/04,At,3,X,80166,901,,,,
Cariboo,SBPSdc,SBPSdc/04,Pl,1,P,80166,,,,,
Cariboo,SBPSdc,SBPSdc/04,Sx,1,P,80166,,,,,
Cariboo,SBPSdc,SBPSdc/04,Sb,3,A,80166,15,,,,
Cariboo,SBPSdc,SBPSdc/05,At,3,X,80167,901,,,,
Cariboo,SBPSdc,SBPSdc/05,Pl,1,P,80167,,,,,
Cariboo,SBPSdc,SBPSdc/05,Sx,1,P,80167,,,,,
Cariboo,SBPSdc,SBPSdc/05,Sb,3,A,80167,15,,,,
Cariboo,SBPSdc,SBPSdc/01,Lw,3,,80167,,,,,
Cariboo,SBPSdc,SBPSdc/06,Act,3,X,80168,901,,,,
Cariboo,SBPSdc,SBPSdc/06,At,3,X,80168,901,,,,
Cariboo,SBPSdc,SBPSdc/06,Pl,1,P,80168,,,,,
Cariboo,SBPSdc,SBPSdc/06,Sx,1,P,80168,32,,,,
Cariboo,SBPSdc,SBPSdc/06,Sb,3,A,80168,15,,,,
Cariboo,SBPSdc,SBPSdc/07,Sx,1,P,80169,1,32,,,
Cariboo,SBPSdc,SBPSdc/07,Pl,2,P,80169,1,,,,
Cariboo,SBPSdc,SBPSdc/07,Sb,3,A,80169,1,,,,
Cariboo,SBPSdc,SBPSdc/08,Act,3,X,80170,901,,,,
Cariboo,SBPSdc,SBPSdc/08,Sx,1,P,80170,1,32,,,
Cariboo,SBPSdc,SBPSdc/08,Pl,2,A,80170,1,,,,
Cariboo,SBPSdc,SBPSdc/08,Sb,3,A,80170,15,,,,
Cariboo,SBPSmc,SBPSmc/01,At,3,X,80171,901,,,,
Cariboo,SBPSmc,SBPSmc/01,Pl,1,P,80171,,,,,
Cariboo,SBPSmc,SBPSmc/01,Sb,3,A,80171,,,,,
Cariboo,SBPSmc,SBPSmc/01,Sx,3,A,80171,,,,,
Cariboo,SBPSmc,SBPSmc/02,At,3,X,80172,901,,,,
Cariboo,SBPSmc,SBPSmc/02,Pl,1,P,80172,,,,,
Cariboo,SBPSmc,SBPSmc/02,Sb,3,A,80172,,,,,
Cariboo,SBPSmc,SBPSmc/02,Sx,3,A,80172,,,,,
Cariboo,SBPSmc,SBPSmc/03,At,3,X,80173,901,,,,
Cariboo,SBPSmc,SBPSmc/03,Pl,1,P,80173,,,,,
Cariboo,SBPSmc,SBPSmc/03,Sb,3,A,80173,,,,,
Cariboo,SBPSmc,SBPSmc/03,Sx,3,A,80173,,,,,
Cariboo,SBPSmc,SBPSmc/04,At,3,X,80174,901,,,,
Cariboo,SBPSmc,SBPSmc/04,Pl,1,P,80174,,,,,
Cariboo,SBPSmc,SBPSmc/04,Sb,1,A,80174,,,,,
Cariboo,SBPSmc,SBPSmc/04,Sx,1,P,80174,32,,,,
Cariboo,SBPSmc,SBPSmc/05,Act,3,X,80175,901,,,,
Cariboo,SBPSmc,SBPSmc/05,Sx,1,P,80175,1,32,,,
Cariboo,SBPSmc,SBPSmc/05,Pl,2,A,80175,1,,,,
Cariboo,SBPSmc,SBPSmc/05,Sb,3,A,80175,53,,,,
Cariboo,SBPSmc,SBPSmc/06,Act,3,X,80176,901,,,,
Cariboo,SBPSmc,SBPSmc/06,Sx,1,P,80176,1,32,,,
Cariboo,SBPSmc,SBPSmc/06,Pl,2,P,80176,1,,,,
Cariboo,SBPSmc,SBPSmc/06,Sb,3,A,80176,53,,,,
Cariboo,SBPSmc,SBPSmc/07,Pl,1,P,80177,1,,,,
Cariboo,SBPSmc,SBPSmc/07,Sb,1,A,80177,1,,,,
Cariboo,SBPSmc,SBPSmc/07,Sx,1,P,80177,1,32,,,
Cariboo,SBPSmk,SBPSmk/01,At,3,X,80178,901,,,,
Cariboo,SBPSmk,SBPSmk/01,Fd,1,P,80178,14,32,,,
Cariboo,SBPSmk,SBPSmk/01,Pl,1,P,80178,,,,,
Cariboo,SBPSmk,SBPSmk/01,Sx,1,P,80178,,,,,
Cariboo,SBPSmk,SBPSmk/01,Lw,3,,80178,,,,,
Cariboo,SBPSmk,SBPSmk/02,Fd,1,P,80179,14,28,,,
Cariboo,SBPSmk,SBPSmk/02,Pl,1,P,80179,,,,,
Cariboo,SBPSmk,SBPSmk/02,Sx,3,A,80179,28,,,,
Cariboo,SBPSmk,SBPSmk/03,At,3,X,80180,901,,,,
Cariboo,SBPSmk,SBPSmk/03,Fd,1,P,80180,28,,,,
Cariboo,SBPSmk,SBPSmk/03,Pl,1,P,80180,,,,,
Cariboo,SBPSmk,SBPSmk/04,At,3,X,80181,901,,,,
Cariboo,SBPSmk,SBPSmk/04,Fd,1,P,80181,14,28,32,,
Cariboo,SBPSmk,SBPSmk/04,Pl,1,P,80181,,,,,
Cariboo,SBPSmk,SBPSmk/04,Sx,1,P,80181,28,,,,
Cariboo,SBPSmk,SBPSmk/04,Sb,3,X,80181,14,15,,,
Cariboo,SBPSmk,SBPSmk/05,At,3,X,80182,901,,,,
Cariboo,SBPSmk,SBPSmk/05,Fd,1,P,80182,14,28,,,
Cariboo,SBPSmk,SBPSmk/05,Pl,1,P,80182,,,,,
Cariboo,SBPSmk,SBPSmk/05,Sx,1,P,80182,28,,,,
Cariboo,SBPSmk,SBPSmk/05,Lw,3,,80182,,,,,
Cariboo,SBPSmk,SBPSmk/06,Act,3,X,80183,901,,,,
Cariboo,SBPSmk,SBPSmk/06,At,3,X,80183,901,,,,
Cariboo,SBPSmk,SBPSmk/06,Pl,1,P,80183,,,,,
Cariboo,SBPSmk,SBPSmk/06,Sx,1,P,80183,,,,,
Cariboo,SBPSmk,SBPSmk/06,Lw,3,,80183,,,,,
Cariboo,SBPSmk,SBPSmk/07,Act,3,X,80184,901,,,,
Cariboo,SBPSmk,SBPSmk/07,At,3,X,80184,901,,,,
