"index","GCM","SSP","RUN","PERIOD","BAFAun","BGxh2","BGxh3","BGxw1","BGxw2","ESSFdk2","ESSFdkp","ESSFdkw","ESSFmc","ESSFmv1","ESSFwc2","ESSFwc3","ESSFwcp","ESSFwcw","ESSFwk1","ESSFwv","ESSFwvp","ESSFwvw","ESSFxc2","ESSFxc3","ESSFxcp","ESSFxv1","ICHdk","ICHmc1","ICHmk3","ICHmw3","ICHwk2","IDFdk1","IDFdk3","IDFdk4","IDFmw2","IDFxh2","IDFxm","IDFxw","IMAun","IMAun_CO","MSabN","MSdc2","MSxk2","MSxk3","MSxv","PPxh2","SBAPfp","SBPSmk","SBPSxc","SBSdk","SBSdw1","SBSdw2","SBSmc1","SBSmc2","SBSmc3","SBSmk1","SBSmm","SBSmw","SBSwk1","BGmk_MT","ESSFdc2","ESSFdcw","ESSFmv3","ESSFwm1","ESSFwmp","ESSFxcw","ESSFxk_WY","ICHmk1","ICHmk4","IDFdkx_MT","IDFxm_CO","IMAab","IWFdm_CO","MGPmg","MGPmw_MT","MSdh_WY","MSdk","MSdm1","PPxh1","SBPSdc","SBPSmc","BGxh1","ESSFdc1","ESSFwc4","ESSFwh1","ESSFxc1","ICHdw3","ICHmw5","IDFdh_UT","IDFdk2","JPWdw_UT","MSdw","MSxk1","SBSmh","BGdw_WA","BGxh_WA","ESSFdk1","ESSFmh","ESSFwmw","ICHxm1","IDFdk5","IDFdm_WA","IDFdm1","IDFdm2","IDFxk","JPWdm_WY","MGPdm","ESSFabS","ICHmc2","IDFdh","IDFdk_MT","IDFdx_MT","IDFxh1","IDFxx2","MSdm_WA","MSdm2","ICHmk2","ICHwk4","SBSvk","ESSFabC","ESSFwk2","ICHvk2","IMAun_WY","SBSwk3","ICHmw2","BWBSdk","BWBSdmN","BWBSmw","BWBSuf","ESSFabN","ESSFmv2","SBSdw3","BWBScmW","BWBSlf","BWBSwk1","FGnf","SBAPcp","SWBmk","ESSFmmp","SBSwk2","ESSFxvp","CWHws2","IDFdm_MT","MSxm_CO","ICHdw4","ICHwk1","PPxw_MT","PPxh_CO","GOun_CO","MHmmp","ESSFwh3","MSdw_MT","ICHwk3","ESSFwh2","ESSFwm2","ICHdm","SGPdm_CO","BGmw_WA","GBDxx_UT","ICHdw_ID","ICHdw1","IDFxx1","PPxh_WA","SBSdh1","ESSFwm_MT","ESSFwm4","ESSFxh_WA","ICHxw","ICHxw_WA","IMAun_MT","JPWxw_NV","ESSFwm3","ICHmw4","ICHmh_MT","MSxx_NV","ICHvk1","ICHvc","ESSFdk_MT","ICHxwa","IDFdh_WA","IDFxh_WA","PPmx_WY","IDFdh_MT","MHmm2","IGFxm_OR","CWHms1","IDFxx_MT","PPxw_WY","IGFmm_OR","JPWwm_CO","IDFxc","CWHwm"
21,"GISS-E2-1-G","ssp245","r2i1p3f1","2001_2020",8,262,452,NA,273,60,NA,8,4,550,11,189,140,162,1459,131,NA,NA,114,NA,2,6,3955,1012,11,54,2999,9,29851,NA,1719,38,591,2348,18,NA,6384,NA,119,NA,NA,78,1280,30,NA,1091,2082,1493,NA,2009,NA,NA,NA,659,1519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,1,335,NA,NA,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,44,NA,NA,2,NA,194,NA,NA,NA,678,20,6,NA,NA,NA,125,NA,16,23,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,"GISS-E2-1-G","ssp245","r3i1p3f1","2001_2020",NA,198,562,6,208,2,NA,NA,6,67,8,789,109,230,1376,54,NA,NA,20,170,38,NA,53,40,1433,46,1468,1652,25386,4,2359,243,3106,8582,18,NA,109,NA,1211,585,33,70,183,1410,53,47,6401,3763,1192,452,139,NA,131,27,972,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,2,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,"MIROC6","ssp245","ensembleMean","2001_2020",1,368,509,8,183,NA,NA,NA,NA,5,3,445,69,139,1288,12,NA,NA,65,142,14,NA,32,57,857,43,3435,3005,15309,2,4680,1338,1114,19444,5,NA,5,NA,951,587,6,98,38,1112,NA,98,6931,326,470,199,101,NA,205,10,1089,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,41,1,NA,NA,2,NA,NA,1,NA,68,NA,NA,2,2,NA,NA,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,"MIROC6","ssp245","r1i1p1f1","2001_2020",1,333,490,12,150,NA,NA,NA,NA,NA,NA,576,76,127,1397,19,NA,NA,10,147,21,NA,7,91,491,9,3697,3072,17029,NA,2864,713,2345,16808,8,NA,84,NA,1191,559,3,94,391,725,NA,28,7402,1815,996,182,74,NA,10,15,570,NA,4,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,3,NA,NA,10,NA,NA,NA,13,43,NA,NA,9,1,NA,NA,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,111,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,"MIROC6","ssp245","r2i1p1f1","2001_2020",4,352,596,NA,1242,59,NA,NA,5,7,8,458,76,181,1123,31,NA,2,16,146,18,NA,200,116,781,124,1645,2467,17763,19,4905,748,2831,14605,2,NA,NA,NA,484,690,15,108,NA,688,82,674,7438,513,37,739,95,11,806,33,1662,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,339,NA,NA,NA,NA,1,NA,NA,40,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,9,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,"MIROC6","ssp245","r3i1p1f1","2001_2020",9,399,394,50,NA,1,NA,1,NA,NA,NA,69,32,47,1126,NA,9,NA,165,79,4,NA,NA,52,289,NA,5317,2639,11047,NA,4029,2197,1664,23370,NA,NA,NA,2,1272,374,22,160,422,895,19,20,5145,26,348,47,14,NA,25,NA,513,NA,36,245,NA,NA,NA,9,NA,50,NA,NA,223,NA,NA,444,17,NA,NA,104,8,NA,NA,23,3,101,7,21,35,9,1,1035,20,NA,28,332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,"MPI-ESM1-2-HR","ssp245","ensembleMean","2001_2020",1,240,520,7,756,15,1,20,6,12,NA,290,58,227,1217,55,NA,1,116,149,18,NA,NA,21,1024,7,1087,7898,16053,12,1555,1040,4523,13284,6,NA,NA,NA,890,634,23,132,159,2024,46,413,4251,1153,616,483,97,2,80,NA,545,NA,NA,37,NA,3,1,6,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,1,488,2,NA,157,15,23,NA,NA,NA,5,29,NA,2035,NA,NA,NA,55,NA,NA,NA,162,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2001_2020",3,331,539,1,1364,154,NA,13,NA,20,32,338,81,192,1224,6,NA,NA,19,149,16,NA,5,48,891,162,638,707,19765,13,2570,640,6912,11454,5,NA,36,NA,591,647,25,124,96,1310,41,1118,6950,2004,47,907,157,49,659,118,1762,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,2,NA,NA,NA,20,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2001_2020",NA,209,515,110,21,NA,2,58,10,NA,NA,24,51,131,576,278,1,NA,115,29,14,NA,NA,1,8,NA,108,29782,2001,5,2,7547,1650,3314,7,NA,NA,2,1703,350,25,89,10,493,15,72,519,422,186,225,35,NA,NA,NA,13,1,438,44,NA,14,9,181,19,2282,2,1519,1,NA,NA,13,NA,61,NA,2450,66,NA,54,44,450,30,12,137,NA,140,NA,4730,NA,NA,36,NA,1,1,NA,1076,50,57,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,61,NA,NA,169,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,"MRI-ESM2-0","ssp245","ensembleMean","2001_2020",NA,86,288,9,NA,NA,NA,NA,37,319,NA,559,88,88,1452,17,NA,NA,82,18,NA,1,NA,60,819,1,8094,376,15121,NA,3457,606,3882,7807,1,NA,497,5,441,40,NA,236,1236,780,NA,14,11795,1779,487,678,NA,NA,5,5,64,NA,2,NA,NA,NA,NA,23,NA,NA,NA,NA,27,NA,8,289,29,NA,NA,36,149,NA,NA,NA,NA,NA,NA,54,157,NA,NA,891,NA,NA,32,1814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,5,NA,NA,16,82,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,"MRI-ESM2-0","ssp245","r1i1p1f1","2001_2020",NA,86,288,9,NA,NA,NA,NA,37,319,NA,559,88,88,1452,17,NA,NA,82,18,NA,1,NA,60,819,1,8094,376,15121,NA,3457,606,3882,7807,1,NA,497,5,441,40,NA,236,1236,780,NA,14,11795,1779,487,678,NA,NA,5,5,64,NA,2,NA,NA,NA,NA,23,NA,NA,NA,NA,27,NA,8,289,29,NA,NA,36,149,NA,NA,NA,NA,NA,NA,54,157,NA,NA,891,NA,NA,32,1814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,NA,NA,NA,5,NA,NA,16,82,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,"ensembleMean","ssp245","ensembleMean","2001_2020",NA,257,544,8,172,3,NA,NA,4,52,1,578,79,153,1394,11,NA,NA,8,116,15,NA,17,25,903,48,3700,1007,19295,NA,3283,338,3835,14031,5,NA,54,NA,813,517,2,93,488,1633,NA,109,8134,840,871,464,180,NA,61,9,664,NA,NA,7,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,27,7,5,NA,6,NA,NA,1,2,12,NA,NA,3,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,"ACCESS-ESM1-5","ssp245","ensembleMean","2021_2040",NA,305,354,2,44,NA,NA,2,NA,NA,NA,47,1,53,501,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,2987,3592,1366,NA,7713,19469,2446,9534,NA,NA,NA,NA,325,35,NA,295,523,5,6,176,1269,130,25,153,NA,NA,NA,NA,92,NA,1,NA,NA,176,NA,4,NA,269,1540,NA,2,NA,93,5573,788,NA,2,29,24,NA,NA,138,NA,149,131,87,290,330,75,1067,162,90,44,225,NA,1,NA,21,NA,992,21,NA,NA,682,NA,NA,21,NA,7,NA,NA,16,24,NA,9,17,NA,NA,NA,NA,NA,NA,NA,NA,415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,47,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,"ACCESS-ESM1-5","ssp245","r10i1p1f1","2021_2040",NA,374,631,1,127,NA,NA,NA,NA,NA,NA,94,NA,25,738,NA,NA,NA,NA,NA,NA,NA,NA,9,93,NA,3297,2789,1653,NA,8023,17963,3677,11879,NA,NA,NA,NA,350,68,NA,418,153,NA,NA,171,1835,89,33,91,NA,NA,NA,NA,56,NA,NA,1,NA,NA,NA,4,NA,98,79,NA,25,NA,16,1173,47,NA,NA,46,6,NA,NA,185,NA,18,119,70,830,1015,37,3382,68,NA,26,1509,NA,NA,NA,NA,NA,735,NA,NA,NA,145,NA,NA,NA,NA,73,NA,NA,NA,6,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,29,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,"ACCESS-ESM1-5","ssp245","r1i1p1f1","2021_2040",NA,372,780,NA,2765,NA,NA,NA,NA,NA,NA,95,NA,24,459,NA,NA,NA,1,NA,NA,NA,NA,3,NA,17,1473,2149,1239,1,2602,16957,13305,1101,NA,NA,NA,NA,133,16,NA,196,782,NA,4,614,1327,372,18,361,NA,8,NA,54,38,NA,NA,NA,NA,275,NA,5,NA,55,2045,2,NA,NA,NA,8801,649,NA,2,4,57,NA,NA,114,NA,19,102,52,901,493,NA,725,126,5,2,1184,1,41,NA,NA,NA,347,NA,NA,1,597,NA,7,694,NA,330,NA,NA,5,5,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,7,97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,"ACCESS-ESM1-5","ssp245","r2i1p1f1","2021_2040",NA,299,288,5,78,3,NA,8,NA,NA,NA,12,NA,16,394,NA,NA,NA,37,NA,NA,NA,NA,1,1,NA,2063,2023,1383,NA,6581,13628,2580,11711,NA,NA,NA,NA,346,34,1,294,934,11,14,131,819,39,12,110,NA,1,NA,1,124,NA,1,29,NA,249,NA,NA,NA,52,2182,4,1,NA,188,11677,2072,NA,15,42,12,NA,2,42,NA,93,58,21,163,33,218,32,340,249,14,436,NA,4,NA,1,NA,839,232,NA,1,1282,NA,NA,31,NA,23,NA,NA,7,8,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,35,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,"CNRM-ESM2-1","ssp245","ensembleMean","2021_2040",NA,229,243,35,NA,1,NA,1,NA,NA,NA,98,36,68,1058,NA,NA,NA,161,20,NA,NA,NA,1,196,NA,7623,2996,2947,NA,1585,4573,1030,14703,NA,NA,NA,NA,738,219,25,208,1169,1047,5,NA,1930,14,292,73,16,NA,NA,NA,4,NA,126,77,NA,NA,NA,35,NA,2572,21,204,2307,NA,118,3646,184,NA,2,182,84,NA,NA,84,NA,89,9,118,28,19,22,8959,4,NA,136,348,NA,NA,NA,12,NA,1767,NA,NA,17,NA,NA,NA,NA,NA,1,NA,NA,176,12,NA,NA,24,1,NA,NA,NA,NA,NA,NA,NA,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,"CNRM-ESM2-1","ssp245","r1i1p1f2","2021_2040",NA,200,291,41,NA,4,NA,31,NA,NA,NA,1,13,11,790,NA,NA,NA,149,NA,NA,NA,NA,NA,34,NA,4218,3296,2586,NA,1383,4381,42,20677,NA,NA,NA,NA,697,102,81,162,683,69,129,9,279,NA,166,120,27,NA,NA,NA,78,NA,168,182,NA,NA,2,1,NA,4130,623,280,2990,NA,1363,5701,205,19,20,2811,6,1,2,52,25,246,91,23,NA,27,344,1969,165,63,91,73,NA,NA,NA,58,NA,714,NA,NA,1163,6,NA,NA,NA,NA,NA,NA,158,299,54,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,"CNRM-ESM2-1","ssp245","r2i1p1f2","2021_2040",NA,350,473,22,74,3,NA,NA,NA,NA,NA,375,26,74,1267,NA,NA,NA,21,26,NA,NA,NA,13,298,NA,5020,4938,10699,NA,3481,2955,3479,19655,NA,NA,NA,NA,692,267,NA,122,694,505,6,52,4410,182,200,263,9,NA,1,NA,38,NA,7,NA,NA,NA,NA,45,NA,156,NA,1,5,NA,NA,353,31,NA,NA,214,4,9,6,43,1,1,NA,58,29,34,NA,2918,10,NA,21,381,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,18,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,"CNRM-ESM2-1","ssp245","r3i1p1f2","2021_2040",NA,167,209,38,NA,NA,NA,45,NA,NA,NA,NA,13,3,546,NA,1,NA,246,33,NA,NA,NA,NA,83,NA,869,7781,1036,NA,NA,8845,NA,7425,1,NA,NA,NA,903,222,30,164,1425,435,1,NA,12,NA,108,13,2,NA,NA,NA,NA,5,690,139,NA,1,1,52,6,7309,1170,3898,3534,NA,436,4868,217,54,NA,1245,254,NA,NA,8,19,133,40,264,NA,24,13,5784,3,26,338,NA,NA,NA,NA,17,NA,1905,NA,NA,822,NA,NA,NA,NA,132,NA,NA,81,699,50,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,9,NA,NA,NA,NA,NA,19,3,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,"EC-Earth3","ssp245","ensembleMean","2021_2040",NA,97,128,6,NA,NA,NA,NA,NA,NA,NA,228,20,34,1207,NA,NA,NA,NA,3,NA,NA,NA,317,129,84,6523,1341,2799,NA,2118,5775,7453,6453,NA,NA,38,11,249,62,2,228,1670,780,NA,NA,4319,368,49,99,NA,NA,NA,NA,20,NA,9,NA,NA,NA,NA,105,NA,33,6,NA,1408,NA,NA,4382,270,NA,3,222,256,NA,NA,124,NA,NA,NA,232,717,11,NA,7264,1,2,128,5768,NA,NA,NA,NA,NA,713,NA,NA,NA,5,NA,NA,NA,NA,46,NA,NA,124,47,NA,NA,28,71,215,NA,NA,NA,NA,NA,NA,232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,"EC-Earth3","ssp245","r15i1p1f1","2021_2040",NA,188,187,3,NA,2,NA,NA,13,131,NA,68,71,60,1152,NA,NA,NA,183,9,NA,NA,3,4,950,NA,10541,717,3732,NA,10546,849,407,19721,NA,NA,NA,3,582,111,104,261,528,1412,NA,NA,4813,13,434,278,NA,NA,64,NA,46,NA,30,118,NA,NA,NA,1,NA,300,NA,NA,1760,NA,125,109,NA,NA,NA,70,81,NA,NA,1,NA,204,19,31,147,6,96,2479,47,NA,55,790,NA,NA,NA,10,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,7,NA,NA,14,146,4,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,"EC-Earth3","ssp245","r1i1p1f1","2021_2040",NA,29,103,2,NA,NA,NA,NA,4,NA,NA,186,7,27,1128,NA,NA,NA,1,NA,NA,NA,NA,447,9,59,5678,301,4686,NA,254,5381,11416,5517,NA,NA,66,28,69,20,NA,243,1388,246,NA,10,3154,988,65,434,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,96,NA,24,NA,NA,3759,NA,NA,2767,213,NA,NA,109,402,NA,NA,77,NA,NA,NA,114,648,19,NA,5229,10,NA,53,5873,NA,NA,NA,NA,NA,727,NA,NA,NA,1,NA,NA,NA,NA,435,NA,NA,67,62,NA,NA,7,153,490,NA,NA,NA,NA,NA,NA,55,NA,NA,96,2,NA,NA,NA,NA,NA,NA,32,1467,NA,NA,NA,NA,NA,2,7,NA,3,NA,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
