"index","GCM","SSP","RUN","PERIOD","BAFA","BG","BWBS","CMA","CWH","ESSF","ICH","IDF","IMA","MH","MS","PP","SBAP","SBPS","SBS","SWB","IWF","MGP","GO","JPW","FG","CDF","IGF","SGP","GBD"
143,"MIROC6","ssp245","ensembleMean","2081_2100",33,308,11,1102,2161,5774,13911,30544,181,2015,5035,526,25,101,266,NA,117,3299,16,244,NA,NA,NA,106,NA
144,"MIROC6","ssp245","r1i1p1f1","2081_2100",119,1169,NA,590,2284,5021,12816,34902,216,2026,3193,568,4,69,570,NA,210,1346,42,543,NA,NA,NA,87,NA
145,"MIROC6","ssp245","r2i1p1f1","2081_2100",54,244,51,1676,3051,5788,14315,28293,152,2467,5187,722,7,43,248,NA,20,3228,NA,119,NA,1,NA,109,NA
146,"MIROC6","ssp245","r3i1p1f1","2081_2100",17,1220,23,1072,2228,6330,14149,25867,289,1548,6664,408,57,NA,219,NA,57,5243,21,224,NA,NA,1,138,NA
147,"MPI-ESM1-2-HR","ssp245","ensembleMean","2081_2100",280,1134,57,686,2652,7552,13581,26788,244,1884,4238,312,5,858,5368,NA,NA,109,NA,27,NA,NA,NA,NA,NA
148,"MPI-ESM1-2-HR","ssp245","r1i1p1f1","2081_2100",282,1473,63,326,2196,8242,11655,26505,201,1483,3706,204,9,444,8708,4,NA,230,4,38,2,NA,NA,NA,NA
149,"MPI-ESM1-2-HR","ssp245","r2i1p1f1","2081_2100",271,1186,80,1125,3287,6567,15803,25137,395,2071,3807,400,1,834,4759,2,NA,40,NA,10,NA,NA,NA,NA,NA
150,"MRI-ESM2-0","ssp245","ensembleMean","2081_2100",18,1,258,1320,3636,4903,33279,4516,269,2360,648,436,899,NA,2208,1,NA,10206,5,10,NA,NA,NA,802,NA
151,"MRI-ESM2-0","ssp245","r1i1p1f1","2081_2100",18,1,258,1320,3636,4903,33279,4516,269,2360,648,436,899,NA,2208,1,NA,10206,5,10,NA,NA,NA,802,NA
152,"ensembleMean","ssp245","ensembleMean","2081_2100",21,34,76,1086,2010,6526,19755,19547,126,1803,4183,316,182,1,798,NA,1,8980,25,108,2,NA,NA,195,NA
