ID1,SiteNo,SS_NoSpace,Spp,Curr,NewSuit,Flag,Suit2025,FailRisk2025,Suit2055,FailRisk2055,Suit2085,FailRisk2085,ID2,Lat,Long,Elev
SBPSmk_1,5225436,IDFdk3/06,Pl,1,3,D2,X,High,X,High,X,High,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/06,Py,4,3,A3,2,Normal,2,Increased,2,Increased,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/07,At,3,3,S,3,Normal,3,Normal,3,Increased,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/07,Ep,3,3,S,3,High,3,Increased,3,High,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/07,Fd,1,2,D1,1,Normal,2,Normal,2,Normal,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/07,Pl,1,3,D2,3,High,3,High,X,High,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/07,Py,4,3,A3,2,Increased,2,Increased,2,Normal,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/07,Sx,2,3,D1,3,High,3,Increased,3,High,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/08,Ac,3,3,S,X,High,3,Increased,X,High,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/08,At,3,3,S,3,Normal,3,Normal,3,Increased,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/08,Ep,3,3,S,3,Increased,3,Increased,3,High,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/08,Fd,1,1,S,1,Normal,1,Normal,2,Normal,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/08,Pl,2,3,D1,3,High,3,High,X,High,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/08,Py,4,3,A3,2,Increased,2,Increased,2,Normal,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/08,Sx,1,2,D1,3,Increased,2,Increased,3,High,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/09,Ac,3,3,S,3,Normal,3,Increased,3,Increased,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/09,At,4,3,A3,2,Normal,3,Increased,3,High,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/09,Ep,4,3,A3,2,Normal,3,Increased,3,High,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/09,Fd,4,3,A3,2,Increased,3,Increased,3,Increased,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/09,Pl,2,3,D1,3,High,3,High,X,High,,52.1203,-121.5956,
SBPSmk_1,5225436,IDFdk3/09,Sx,1,2,D1,2,Normal,2,Increased,3,Increased,,52.1203,-121.5956,
